,Age,MP,Starts,Min,Gls,Ast,CrdY,Shot,FK,TotPassCmpPerc,Prog
Petr Čech,36.0,7.0,7.0,584.0,0.0,0.0,0.0,0.0,0.0,69.4,0.0
Mohamed Elneny,26.0,8.0,5.0,380.0,0.0,0.0,0.0,7.0,0.0,90.2,28.0
Konstantinos Mavropanos,20.0,4.0,3.0,148.0,0.0,0.0,1.0,1.0,0.0,94.0,8.0
Carl Jenkinson,26.0,3.0,2.0,166.0,0.0,0.0,0.0,0.0,0.0,78.3,4.0
Danny Welbeck,27.0,8.0,1.0,153.0,1.0,1.0,0.0,4.0,0.0,75.9,11.0
Joe Willock,18.0,2.0,1.0,64.0,0.0,0.0,0.0,2.0,0.0,100.0,0.0
Denis Suárez,24.0,4.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,91.4,2.0
Eddie Nketiah,19.0,5.0,0.0,67.0,1.0,0.0,0.0,3.0,0.0,95.0,2.0
Bukayo Saka,16.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,
Conor Coady,25.0,38.0,38.0,3420.0,0.0,0.0,5.0,0.0,0.0,84.2,61.0
Rui Patrício,30.0,37.0,37.0,3329.0,0.0,0.0,1.0,0.0,0.0,59.0,0.0
Willy Boly,27.0,36.0,36.0,3167.0,4.0,0.0,2.0,22.0,0.0,82.1,125.0
Raúl Jiménez,27.0,38.0,36.0,3111.0,13.0,7.0,4.0,113.0,0.0,73.6,81.0
Matt Doherty,26.0,38.0,35.0,3144.0,4.0,5.0,5.0,43.0,0.0,72.9,294.0
João Moutinho,31.0,38.0,35.0,3032.0,1.0,8.0,4.0,18.0,1.0,80.5,263.0
Ryan Bennett,28.0,34.0,34.0,3060.0,1.0,0.0,12.0,15.0,0.0,78.9,95.0
Rúben Neves,21.0,35.0,34.0,3007.0,4.0,3.0,8.0,71.0,11.0,80.6,176.0
Jonny Castro,24.0,33.0,32.0,2771.0,1.0,1.0,6.0,26.0,0.0,80.6,107.0
Diogo Jota,21.0,33.0,29.0,2355.0,9.0,5.0,11.0,57.0,0.0,75.8,78.0
Leander Dendoncker,23.0,19.0,17.0,1467.0,2.0,0.0,1.0,16.0,0.0,80.6,37.0
Hélder Costa,24.0,25.0,16.0,1341.0,1.0,2.0,3.0,25.0,0.0,75.5,39.0
Romain Saïss,28.0,19.0,12.0,1149.0,2.0,0.0,7.0,11.0,0.0,78.3,59.0
Adama Traoré,22.0,29.0,8.0,902.0,1.0,1.0,1.0,19.0,0.0,71.9,45.0
Rúben Vinagre,19.0,17.0,7.0,710.0,0.0,0.0,1.0,5.0,0.0,71.0,50.0
Ivan Cavaleiro,24.0,23.0,6.0,693.0,3.0,1.0,1.0,12.0,0.0,70.8,30.0
Morgan Gibbs-White,18.0,26.0,5.0,663.0,0.0,1.0,1.0,8.0,0.0,80.7,23.0
John Ruddy,31.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,71.4,0.0
Léo Bonatini,24.0,7.0,0.0,135.0,0.0,1.0,0.0,9.0,0.0,74.5,5.0
Max Kilman,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
Will Norris,24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
Jordan Pickford,24.0,38.0,38.0,3420.0,0.0,0.0,1.0,0.0,0.0,59.8,1.0
Gylfi Sigurðsson,28.0,38.0,36.0,3117.0,13.0,6.0,3.0,81.0,7.0,67.4,190.0
Michael Keane,25.0,33.0,33.0,2969.0,1.0,2.0,2.0,29.0,0.0,82.5,108.0
Lucas Digne,25.0,35.0,33.0,2965.0,4.0,4.0,5.0,34.0,11.0,70.9,293.0
Idrissa Gana Gueye,28.0,33.0,32.0,2822.0,0.0,2.0,6.0,20.0,0.0,84.1,171.0
Richarlison,21.0,35.0,32.0,2665.0,13.0,1.0,5.0,87.0,1.0,65.2,76.0
Kurt Zouma,23.0,32.0,29.0,2612.0,2.0,2.0,4.0,17.0,0.0,85.2,87.0
Séamus Coleman,29.0,29.0,29.0,2558.0,2.0,2.0,1.0,13.0,0.0,76.9,188.0
Bernard,25.0,34.0,25.0,2116.0,1.0,3.0,5.0,24.0,0.0,73.0,91.0
Theo Walcott,29.0,37.0,24.0,2119.0,5.0,2.0,1.0,43.0,0.0,70.8,66.0
André Gomes,25.0,27.0,24.0,1980.0,1.0,1.0,7.0,22.0,0.0,83.3,117.0
Dominic Calvert-Lewin,21.0,35.0,19.0,1784.0,6.0,2.0,3.0,55.0,0.0,64.2,21.0
Cenk Tosun,27.0,25.0,10.0,1059.0,3.0,3.0,3.0,34.0,0.0,74.5,18.0
Tom Davies,20.0,16.0,10.0,980.0,0.0,0.0,3.0,7.0,0.0,78.9,51.0
Yerry Mina,23.0,13.0,10.0,892.0,1.0,0.0,3.0,4.0,0.0,84.6,34.0
Morgan Schneiderlin,28.0,14.0,10.0,834.0,0.0,1.0,2.0,3.0,0.0,89.0,29.0
Jonjoe Kenny,21.0,10.0,8.0,791.0,0.0,1.0,1.0,3.0,0.0,75.0,81.0
Leighton Baines,33.0,6.0,5.0,375.0,0.0,0.0,0.0,2.0,1.0,78.9,43.0
Mason Holgate,21.0,5.0,4.0,408.0,0.0,0.0,1.0,0.0,0.0,74.4,26.0
Phil Jagielka,35.0,7.0,4.0,331.0,1.0,0.0,0.0,1.0,0.0,76.8,6.0
Ademola Lookman,20.0,21.0,3.0,618.0,0.0,2.0,0.0,12.0,0.0,81.0,33.0
Oumar Niasse,28.0,5.0,0.0,63.0,0.0,0.0,0.0,3.0,0.0,59.1,3.0
James McCarthy,27.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0
Kasper Schmeichel,31.0,38.0,38.0,3420.0,0.0,0.0,3.0,1.0,0.0,68.3,3.0
Wilfred Ndidi,21.0,38.0,37.0,3296.0,2.0,0.0,8.0,56.0,0.0,80.3,153.0
Ben Chilwell,21.0,36.0,36.0,3240.0,0.0,4.0,4.0,20.0,0.0,70.3,211.0
Ricardo Pereira,24.0,35.0,35.0,3123.0,2.0,6.0,7.0,26.0,0.0,76.4,224.0
James Maddison,21.0,36.0,35.0,2831.0,7.0,7.0,4.0,82.0,14.0,76.9,237.0
Harry Maguire,25.0,31.0,31.0,2596.0,3.0,0.0,6.0,29.0,0.0,85.5,166.0
Jamie Vardy,31.0,34.0,30.0,2726.0,18.0,4.0,3.0,75.0,0.0,64.6,38.0
Nampalys Mendy,26.0,31.0,23.0,2092.0,0.0,0.0,5.0,3.0,0.0,87.6,80.0
Demarai Gray,22.0,34.0,23.0,1985.0,4.0,1.0,2.0,46.0,1.0,73.8,46.0
Jonny Evans,30.0,24.0,21.0,1996.0,1.0,0.0,2.0,10.0,0.0,85.6,35.0
Wes Morgan,34.0,22.0,21.0,1925.0,3.0,0.0,3.0,14.0,0.0,82.5,34.0
Marc Albrighton,28.0,27.0,18.0,1625.0,2.0,2.0,3.0,19.0,0.0,59.1,101.0
Youri Tielemans,21.0,13.0,13.0,1086.0,3.0,4.0,2.0,30.0,2.0,84.0,71.0
Harvey Barnes,20.0,16.0,11.0,1004.0,1.0,2.0,0.0,39.0,0.0,74.7,35.0
Kelechi Iheanacho,21.0,30.0,9.0,941.0,1.0,3.0,2.0,19.0,0.0,75.3,22.0
Rachid Ghezzal,26.0,19.0,8.0,743.0,1.0,0.0,3.0,21.0,1.0,76.2,53.0
Daniel Amartey,23.0,9.0,7.0,641.0,0.0,0.0,2.0,4.0,0.0,81.8,42.0
Hamza Choudhury,20.0,9.0,7.0,595.0,0.0,0.0,0.0,4.0,0.0,87.0,18.0
Çağlar Söyüncü,22.0,6.0,4.0,372.0,0.0,0.0,1.0,2.0,0.0,85.1,16.0
Danny Simpson,31.0,6.0,3.0,292.0,0.0,0.0,0.0,0.0,0.0,70.1,21.0
Vicente Iborra,30.0,8.0,3.0,229.0,0.0,0.0,0.0,2.0,0.0,86.1,12.0
Christian Fuchs,32.0,3.0,2.0,207.0,0.0,0.0,0.0,2.0,0.0,76.6,30.0
Shinji Okazaki,32.0,21.0,1.0,288.0,0.0,1.0,0.0,4.0,0.0,75.8,7.0
Adrien Silva,29.0,2.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,88.6,6.0
Fousseni Diabaté,22.0,1.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,55.6,1.0
Łukasz Fabiański,33.0,38.0,38.0,3420.0,0.0,0.0,0.0,0.0,0.0,54.1,0.0
Felipe Anderson,25.0,36.0,36.0,3043.0,9.0,4.0,3.0,58.0,5.0,73.0,223.0
Declan Rice,19.0,34.0,34.0,3003.0,2.0,0.0,4.0,24.0,0.0,86.9,85.0
Issa Diop,21.0,33.0,33.0,2970.0,1.0,0.0,4.0,14.0,0.0,85.3,64.0
Mark Noble,31.0,31.0,29.0,2291.0,5.0,5.0,6.0,13.0,0.0,84.3,163.0
Robert Snodgrass,30.0,33.0,25.0,2220.0,2.0,5.0,10.0,31.0,4.0,75.7,138.0
Marko Arnautović,29.0,28.0,24.0,1990.0,10.0,4.0,3.0,62.0,3.0,75.7,46.0
Pablo Zabaleta,33.0,26.0,23.0,2092.0,0.0,1.0,4.0,7.0,0.0,75.3,145.0
Fabián Balbuena,26.0,23.0,23.0,2013.0,1.0,0.0,2.0,17.0,0.0,78.2,42.0
Michail Antonio,28.0,33.0,22.0,2103.0,6.0,4.0,3.0,65.0,0.0,66.0,76.0
Angelo Ogbonna,30.0,24.0,20.0,1874.0,1.0,1.0,2.0,13.0,0.0,83.7,34.0
Arthur Masuaku,24.0,23.0,19.0,1759.0,0.0,1.0,2.0,4.0,0.0,80.4,91.0
Aaron Cresswell,28.0,20.0,18.0,1589.0,0.0,1.0,1.0,11.0,2.0,78.7,109.0
Javier Hernández,30.0,25.0,14.0,1334.0,7.0,1.0,2.0,34.0,0.0,71.8,23.0
Pedro Obiang,26.0,24.0,12.0,1128.0,0.0,1.0,0.0,16.0,0.0,79.1,51.0
Ryan Fredericks,25.0,15.0,12.0,1086.0,1.0,0.0,5.0,5.0,0.0,72.4,48.0
Manuel Lanzini,25.0,10.0,8.0,686.0,1.0,1.0,2.0,11.0,3.0,86.6,42.0
Grady Diangana,20.0,17.0,6.0,609.0,0.0,1.0,0.0,10.0,0.0,75.5,24.0
Andriy Yarmolenko,28.0,9.0,5.0,459.0,2.0,0.0,2.0,9.0,0.0,78.5,20.0
Lucas Pérez,29.0,15.0,4.0,475.0,3.0,0.0,0.0,9.0,0.0,68.9,5.0
Jack Wilshere,26.0,8.0,4.0,392.0,0.0,1.0,2.0,2.0,0.0,91.3,11.0
Andy Carroll,29.0,12.0,3.0,461.0,0.0,0.0,2.0,14.0,0.0,65.6,4.0
Samir Nasri,31.0,5.0,3.0,245.0,0.0,2.0,0.0,3.0,0.0,87.1,13.0
Carlos Sánchez,32.0,7.0,2.0,245.0,0.0,0.0,0.0,3.0,0.0,88.6,10.0
Ben Johnson,18.0,1.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0
Xande Silva,21.0,1.0,0.0,18.0,0.0,0.0,0.0,2.0,0.0,60.0,0.0
Ben Foster,35.0,38.0,38.0,3420.0,0.0,0.0,1.0,1.0,0.0,48.3,2.0
Craig Cathcart,29.0,36.0,35.0,3096.0,3.0,0.0,2.0,16.0,0.0,81.8,64.0
Abdoulaye Doucouré,25.0,35.0,34.0,3062.0,5.0,6.0,7.0,52.0,0.0,83.4,165.0
Étienne Capoue,30.0,33.0,33.0,2944.0,1.0,3.0,14.0,17.0,5.0,83.4,164.0
Roberto Pereyra,27.0,33.0,33.0,2815.0,6.0,1.0,3.0,56.0,6.0,81.5,125.0
Will Hughes,23.0,32.0,31.0,2418.0,2.0,4.0,5.0,31.0,0.0,76.8,108.0
Troy Deeney,30.0,32.0,28.0,2545.0,9.0,5.0,4.0,61.0,0.0,62.4,109.0
José Holebas,34.0,28.0,27.0,2393.0,3.0,6.0,12.0,17.0,4.0,61.6,175.0
Gerard Deulofeu,24.0,30.0,26.0,2066.0,10.0,5.0,3.0,62.0,6.0,73.0,85.0
Kiko Femenía,27.0,29.0,22.0,2049.0,1.0,1.0,1.0,7.0,0.0,80.9,131.0
Adrian Mariappa,31.0,26.0,20.0,1927.0,0.0,0.0,3.0,5.0,0.0,83.7,44.0
Christian Kabasele,27.0,21.0,19.0,1586.0,0.0,0.0,4.0,8.0,0.0,73.0,33.0
Daryl Janmaat,29.0,18.0,17.0,1520.0,0.0,2.0,3.0,11.0,0.0,70.8,105.0
Andre Gray,27.0,29.0,13.0,1366.0,7.0,2.0,2.0,37.0,0.0,67.1,12.0
Adam Masina,24.0,14.0,11.0,1004.0,0.0,1.0,5.0,3.0,0.0,77.2,67.0
Isaac Success,22.0,30.0,9.0,1052.0,1.0,1.0,4.0,28.0,0.0,71.0,35.0
Ken Sema,24.0,17.0,9.0,754.0,1.0,2.0,1.0,10.0,0.0,71.3,20.0
Tom Cleverley,28.0,13.0,4.0,478.0,1.0,0.0,2.0,3.0,1.0,76.4,18.0
Domingos Quina,18.0,8.0,3.0,338.0,1.0,0.0,0.0,5.0,0.0,85.3,19.0
Nathaniel Chalobah,23.0,9.0,3.0,270.0,0.0,0.0,2.0,2.0,0.0,76.9,11.0
Miguel Britos,33.0,3.0,2.0,185.0,0.0,0.0,0.0,0.0,0.0,85.7,5.0
Marc Navarro,23.0,2.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0,64.7,2.0
Ben Wilmot,18.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0
Stefano Okaka,28.0,2.0,0.0,24.0,0.0,0.0,1.0,2.0,0.0,69.2,1.0
Sebastian Prödl,31.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Luka Milivojević,27.0,38.0,38.0,3420.0,12.0,2.0,10.0,47.0,16.0,76.1,248.0
Patrick van Aanholt,27.0,36.0,36.0,3195.0,3.0,2.0,3.0,44.0,0.0,80.9,292.0
James McArthur,30.0,38.0,36.0,3058.0,3.0,6.0,7.0,34.0,0.0,79.2,101.0
Aaron Wan-Bissaka,20.0,35.0,35.0,3134.0,0.0,3.0,4.0,9.0,0.0,75.2,164.0
Wilfried Zaha,25.0,34.0,34.0,3036.0,10.0,5.0,9.0,79.0,0.0,76.7,147.0
Andros Townsend,27.0,38.0,34.0,3009.0,6.0,4.0,1.0,62.0,0.0,72.4,134.0
James Tomkins,29.0,29.0,29.0,2560.0,1.0,1.0,5.0,23.0,0.0,84.0,51.0
Mamadou Sakho,28.0,27.0,27.0,2416.0,0.0,0.0,2.0,5.0,0.0,88.3,100.0
Cheikhou Kouyaté,28.0,31.0,21.0,1899.0,0.0,2.0,3.0,21.0,0.0,80.1,70.0
Vicente Guaita,31.0,20.0,20.0,1754.0,0.0,0.0,2.0,0.0,0.0,50.2,0.0
Jeffrey Schlupp,25.0,30.0,18.0,1670.0,4.0,1.0,1.0,29.0,0.0,74.9,60.0
Wayne Hennessey,31.0,18.0,17.0,1576.0,0.0,0.0,0.0,0.0,0.0,53.1,1.0
Max Meyer,22.0,29.0,15.0,1416.0,1.0,2.0,3.0,35.0,0.0,81.2,56.0
Jordan Ayew,26.0,20.0,14.0,1181.0,1.0,2.0,3.0,26.0,0.0,73.6,16.0
Martin Kelly,28.0,13.0,12.0,1111.0,0.0,0.0,2.0,3.0,0.0,76.0,17.0
Christian Benteke,27.0,16.0,9.0,814.0,1.0,1.0,1.0,29.0,0.0,57.2,13.0
Michy Batshuayi,24.0,11.0,9.0,750.0,5.0,0.0,0.0,26.0,0.0,68.5,7.0
Scott Dann,31.0,10.0,7.0,663.0,0.0,1.0,1.0,6.0,0.0,78.2,17.0
Joel Ward,28.0,7.0,6.0,552.0,1.0,0.0,1.0,2.0,0.0,72.3,28.0
Julián Speroni,39.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0
Alexander Sørloth,22.0,12.0,0.0,185.0,0.0,0.0,0.0,4.0,0.0,66.1,5.0
Connor Wickham,25.0,6.0,0.0,67.0,0.0,1.0,0.0,5.0,0.0,46.2,1.0
Bakary Sako,30.0,4.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,69.2,0.0
Jason Puncheon,32.0,5.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,90.9,0.0
Luke Dreher,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Pape Souaré,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Martin Dúbravka,29.0,38.0,38.0,3420.0,0.0,0.0,1.0,0.0,0.0,59.5,0.0
Matt Ritchie,28.0,36.0,35.0,2928.0,2.0,8.0,9.0,39.0,0.0,65.6,216.0
Ayoze Pérez,25.0,37.0,34.0,2917.0,12.0,2.0,2.0,53.0,0.0,75.0,68.0
Jamaal Lascelles,24.0,32.0,32.0,2745.0,0.0,1.0,4.0,10.0,0.0,76.9,53.0
Salomón Rondón,28.0,32.0,30.0,2603.0,11.0,7.0,1.0,89.0,9.0,69.7,55.0
DeAndre Yedlin,25.0,29.0,28.0,2473.0,1.0,2.0,6.0,11.0,0.0,71.5,156.0
Mohamed Diamé,31.0,29.0,24.0,2166.0,0.0,0.0,3.0,21.0,0.0,77.1,45.0
Fabian Schär,26.0,24.0,22.0,1999.0,4.0,1.0,12.0,23.0,1.0,67.9,77.0
Paul Dummett,26.0,26.0,21.0,1990.0,0.0,0.0,1.0,8.0,0.0,72.3,104.0
Isaac Hayden,23.0,25.0,21.0,1859.0,1.0,4.0,3.0,20.0,0.0,80.2,55.0
Federico Fernández,29.0,19.0,17.0,1484.0,0.0,1.0,2.0,4.0,0.0,77.7,45.0
Christian Atsu,26.0,28.0,15.0,1493.0,1.0,0.0,2.0,28.0,0.0,73.8,31.0
Kenedy,22.0,25.0,14.0,1348.0,1.0,1.0,1.0,29.0,1.0,70.4,53.0
Ki Sung-yueng,29.0,18.0,14.0,1302.0,0.0,1.0,2.0,9.0,1.0,80.7,82.0
Javier Manquillo,24.0,18.0,12.0,1101.0,0.0,3.0,2.0,2.0,0.0,68.1,77.0
Florian Lejeune,27.0,12.0,12.0,1054.0,0.0,0.0,0.0,6.0,0.0,77.1,33.0
Jonjo Shelvey,26.0,16.0,10.0,948.0,1.0,1.0,1.0,24.0,5.0,67.6,99.0
Ciaran Clark,28.0,11.0,9.0,858.0,3.0,0.0,1.0,7.0,0.0,74.5,19.0
Miguel Almirón,24.0,10.0,9.0,759.0,0.0,0.0,0.0,19.0,0.0,72.3,28.0
Sean Longstaff,20.0,9.0,8.0,687.0,1.0,0.0,2.0,8.0,0.0,80.0,27.0
Joselu,28.0,16.0,5.0,596.0,2.0,0.0,1.0,16.0,0.0,63.6,12.0
Yoshinori Mutō,26.0,17.0,5.0,524.0,1.0,0.0,1.0,5.0,0.0,70.1,8.0
Jacob Murphy,23.0,9.0,3.0,302.0,0.0,1.0,0.0,2.0,0.0,54.9,9.0
Antonio Barreca,23.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,33.3,1.0
Nathan Aké,23.0,38.0,38.0,3411.0,4.0,0.0,3.0,22.0,0.0,86.4,91.0
Ryan Fraser,24.0,38.0,35.0,3166.0,7.0,14.0,2.0,50.0,3.0,67.7,225.0
Joshua King,26.0,35.0,34.0,2961.0,12.0,3.0,3.0,64.0,0.0,69.9,94.0
Steve Cook,27.0,31.0,31.0,2786.0,1.0,1.0,3.0,22.0,0.0,77.7,117.0
Callum Wilson,26.0,30.0,29.0,2528.0,14.0,9.0,3.0,63.0,0.0,70.0,45.0
Jefferson Lerma,23.0,30.0,29.0,2506.0,2.0,0.0,12.0,33.0,0.0,84.3,117.0
David Brooks,21.0,30.0,29.0,2261.0,7.0,5.0,3.0,41.0,0.0,73.8,110.0
Adam Smith,27.0,25.0,25.0,2066.0,1.0,1.0,5.0,8.0,0.0,80.2,116.0
Asmir Begović,31.0,24.0,24.0,2160.0,0.0,0.0,0.0,0.0,0.0,68.1,1.0
Dan Gosling,28.0,25.0,19.0,1739.0,2.0,1.0,8.0,21.0,0.0,79.4,100.0
Charlie Daniels,31.0,21.0,17.0,1585.0,1.0,0.0,4.0,13.0,0.0,77.0,112.0
Andrew Surman,31.0,18.0,16.0,1439.0,0.0,0.0,2.0,9.0,0.0,86.4,85.0
Simon Francis,33.0,17.0,13.0,1229.0,0.0,2.0,1.0,3.0,0.0,73.4,94.0
Nathaniel Clyne,27.0,14.0,13.0,1143.0,0.0,1.0,2.0,2.0,0.0,77.2,76.0
Artur Boruc,38.0,12.0,12.0,1080.0,0.0,0.0,2.0,0.0,0.0,64.3,0.0
Junior Stanislas,28.0,23.0,11.0,1031.0,2.0,3.0,1.0,33.0,10.0,76.2,66.0
Chris Mepham,20.0,13.0,10.0,850.0,0.0,1.0,1.0,2.0,0.0,82.9,22.0
Jordon Ibe,22.0,19.0,9.0,797.0,1.0,1.0,1.0,9.0,0.0,75.1,44.0
Lewis Cook,21.0,13.0,8.0,723.0,0.0,0.0,2.0,3.0,0.0,82.0,40.0
Diego Rico,25.0,12.0,5.0,612.0,0.0,0.0,1.0,9.0,1.0,67.8,67.0
Jack Simpson,21.0,6.0,4.0,403.0,0.0,0.0,0.0,2.0,0.0,84.9,10.0
Dominic Solanke,20.0,10.0,2.0,347.0,0.0,1.0,0.0,9.0,0.0,72.3,6.0
Mark Travers,19.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,75.4,1.0
Tyrone Mings,25.0,5.0,2.0,143.0,0.0,0.0,0.0,0.0,0.0,81.3,6.0
Lys Mousset,22.0,24.0,1.0,368.0,1.0,0.0,1.0,13.0,0.0,71.1,10.0
Emerson Hyndman,22.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,73.9,1.0
Jermain Defoe,35.0,4.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,,
Sam Surridge,20.0,2.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,60.0,0.0
Ben Mee,28.0,38.0,38.0,3420.0,0.0,2.0,9.0,23.0,0.0,75.4,99.0
Jack Cork,29.0,37.0,37.0,3312.0,1.0,2.0,6.0,15.0,0.0,80.1,95.0
Charlie Taylor,24.0,38.0,35.0,3243.0,0.0,1.0,2.0,6.0,0.0,71.7,163.0
James Tarkowski,25.0,35.0,35.0,3086.0,3.0,1.0,8.0,24.0,0.0,70.7,102.0
Ashley Westwood,28.0,34.0,31.0,2824.0,2.0,7.0,5.0,22.0,1.0,73.9,200.0
Chris Wood,26.0,38.0,29.0,2588.0,10.0,2.0,2.0,58.0,0.0,66.1,26.0
Ashley Barnes,28.0,37.0,26.0,2388.0,12.0,2.0,8.0,61.0,0.0,61.9,45.0
Jeff Hendrick,26.0,32.0,25.0,2063.0,3.0,0.0,4.0,19.0,1.0,73.3,59.0
Jóhann Berg Guðmundsson,27.0,29.0,19.0,1752.0,3.0,6.0,2.0,34.0,7.0,66.7,87.0
Matthew Lowton,29.0,21.0,19.0,1750.0,0.0,0.0,7.0,5.0,0.0,68.5,131.0
Joe Hart,31.0,19.0,19.0,1710.0,0.0,0.0,0.0,0.0,0.0,45.2,4.0
Tom Heaton,32.0,19.0,19.0,1710.0,0.0,0.0,3.0,1.0,0.0,48.5,8.0
Phil Bardsley,33.0,19.0,19.0,1670.0,0.0,0.0,9.0,12.0,0.0,67.9,117.0
Dwight McNeil,18.0,21.0,19.0,1591.0,3.0,5.0,2.0,28.0,4.0,65.6,69.0
Aaron Lennon,31.0,16.0,14.0,1215.0,1.0,1.0,1.0,4.0,0.0,74.4,19.0
Sam Vokes,28.0,20.0,10.0,915.0,3.0,0.0,0.0,23.0,0.0,58.3,21.0
Robbie Brady,26.0,16.0,6.0,720.0,0.0,1.0,3.0,12.0,2.0,56.4,35.0
Steven Defour,30.0,6.0,6.0,448.0,0.0,0.0,0.0,0.0,0.0,79.2,21.0
Kevin Long,27.0,6.0,5.0,514.0,0.0,1.0,0.0,1.0,0.0,78.5,10.0
Matěj Vydra,26.0,13.0,3.0,318.0,1.0,1.0,1.0,6.0,0.0,59.7,4.0
Stephen Ward,32.0,3.0,3.0,228.0,0.0,0.0,1.0,1.0,0.0,72.7,16.0
Ben Gibson,25.0,1.0,1.0,62.0,1.0,0.0,1.0,1.0,0.0,65.6,2.0
Peter Crouch,37.0,6.0,0.0,92.0,0.0,0.0,1.0,4.0,0.0,44.0,2.0
Nathan Redmond,24.0,38.0,36.0,3270.0,6.0,4.0,3.0,74.0,3.0,72.2,111.0
Pierre Højbjerg,22.0,31.0,31.0,2760.0,4.0,3.0,8.0,53.0,2.0,82.0,165.0
Alex McCarthy,28.0,25.0,25.0,2250.0,0.0,0.0,1.0,0.0,0.0,49.9,0.0
Oriol Romeu,26.0,31.0,25.0,2136.0,1.0,0.0,11.0,10.0,0.0,80.5,130.0
Ryan Bertrand,28.0,24.0,24.0,2160.0,1.0,0.0,8.0,15.0,3.0,72.7,161.0
Jan Bednarek,22.0,25.0,24.0,2151.0,0.0,1.0,7.0,6.0,0.0,69.6,71.0
Jannik Vestergaard,25.0,23.0,23.0,2027.0,0.0,0.0,2.0,13.0,1.0,75.6,73.0
Danny Ings,26.0,24.0,23.0,1651.0,7.0,3.0,1.0,52.0,0.0,68.8,42.0
James Ward-Prowse,23.0,26.0,21.0,1945.0,7.0,0.0,4.0,30.0,7.0,68.1,88.0
Yan Valery,19.0,23.0,20.0,1712.0,2.0,1.0,4.0,6.0,0.0,61.2,83.0
Jack Stephens,24.0,24.0,19.0,1700.0,1.0,0.0,4.0,7.0,0.0,75.5,60.0
Mario Lemina,24.0,21.0,18.0,1613.0,1.0,1.0,5.0,27.0,0.0,84.5,71.0
Maya Yoshida,29.0,17.0,17.0,1518.0,0.0,1.0,0.0,13.0,0.0,78.1,33.0
Cédric Soares,26.0,18.0,16.0,1495.0,1.0,2.0,4.0,10.0,1.0,70.2,91.0
Stuart Armstrong,26.0,29.0,16.0,1432.0,3.0,2.0,2.0,32.0,0.0,76.4,71.0
Matt Targett,22.0,16.0,13.0,1186.0,1.0,3.0,2.0,11.0,1.0,66.3,107.0
Wesley Hoedt,24.0,13.0,13.0,1170.0,0.0,0.0,2.0,6.0,0.0,77.1,36.0
Shane Long,31.0,26.0,12.0,1272.0,5.0,1.0,3.0,30.0,0.0,64.1,23.0
Angus Gunn,22.0,12.0,12.0,1080.0,0.0,0.0,0.0,0.0,0.0,38.8,0.0
Charlie Austin,29.0,25.0,11.0,983.0,2.0,2.0,1.0,33.0,0.0,61.1,9.0
Mohamed Elyounoussi,23.0,16.0,8.0,793.0,0.0,0.0,0.0,19.0,0.0,65.2,27.0
Manolo Gabbiadini,26.0,12.0,4.0,476.0,1.0,0.0,0.0,21.0,1.0,69.7,5.0
Josh Sims,21.0,7.0,2.0,212.0,0.0,1.0,0.0,5.0,0.0,78.3,3.0
Michael Obafemi,18.0,6.0,1.0,137.0,1.0,1.0,1.0,8.0,0.0,73.9,3.0
Callum Slattery,19.0,3.0,1.0,112.0,0.0,0.0,0.0,2.0,0.0,65.6,3.0
Steven Davis,33.0,3.0,1.0,98.0,0.0,1.0,0.0,0.0,0.0,94.2,7.0
Fraser Forster,30.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0
Kayne Ramsey,17.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,77.8,0.0
Sam Gallagher,22.0,4.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
Tyreke Johnson,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
Lewis Dunk,26.0,36.0,36.0,3151.0,2.0,1.0,6.0,22.0,1.0,83.3,50.0
