,Age,MP,Starts,Min,Gls,Ast,CrdY,Shot,FK,TotPassCmpPerc,Prog
Kevin McDonald,29.0,15.0,10.0,841.0,0.0,0.0,5.0,4.0,0.0,85.4,35.0
Timothy Fosu-Mensah,20.0,12.0,10.0,793.0,0.0,0.0,3.0,4.0,0.0,79.0,51.0
Marcus Bettinelli,26.0,7.0,7.0,630.0,0.0,0.0,1.0,0.0,0.0,65.0,0.0
Aboubakar Kamara,23.0,13.0,5.0,693.0,3.0,0.0,2.0,19.0,0.0,70.2,13.0
Stefan Johansen,27.0,12.0,4.0,417.0,0.0,0.0,4.0,1.0,1.0,76.8,31.0
Håvard Nordtveit,28.0,5.0,4.0,362.0,0.0,1.0,0.0,0.0,0.0,83.8,7.0
Floyd Ayité,29.0,16.0,3.0,476.0,1.0,0.0,0.0,7.0,0.0,76.1,24.0
Fabricio,30.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0
Ibrahima Cissé,24.0,3.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,84.8,3.0
Neeskens Kebano,26.0,7.0,0.0,108.0,0.0,0.0,0.0,1.0,0.0,78.1,1.0
Lazar Marković,24.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,96.7,2.0
Harvey Elliot,15.0,2.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,83.3,1.0
Christopher Schindler,28.0,37.0,37.0,3260.0,1.0,0.0,5.0,14.0,0.0,84.7,71.0
Terence Kongolo,24.0,32.0,32.0,2716.0,1.0,1.0,4.0,14.0,0.0,76.0,112.0
Jonas Lössl,29.0,31.0,30.0,2778.0,0.0,1.0,1.0,0.0,0.0,63.2,1.0
Jonathan Hogg,29.0,29.0,29.0,2367.0,0.0,1.0,8.0,8.0,0.0,83.9,101.0
Alex Pritchard,25.0,30.0,26.0,2081.0,2.0,0.0,2.0,48.0,1.0,71.0,90.0
Aaron Mooy,27.0,29.0,25.0,2330.0,3.0,1.0,4.0,39.0,8.0,75.5,172.0
Philip Billing,22.0,27.0,25.0,2188.0,2.0,0.0,7.0,43.0,3.0,72.9,132.0
Mathias Jørgensen,28.0,24.0,24.0,2147.0,3.0,1.0,6.0,8.0,0.0,81.7,109.0
Chris Löwe,29.0,29.0,23.0,2057.0,0.0,2.0,2.0,18.0,1.0,69.1,99.0
Erik Durm,26.0,28.0,21.0,2055.0,0.0,1.0,0.0,8.0,0.0,69.8,125.0
Florent Hadergjonaj,24.0,24.0,19.0,1842.0,0.0,0.0,1.0,6.0,0.0,71.8,124.0
Steve Mounié,23.0,31.0,19.0,1778.0,2.0,3.0,1.0,63.0,0.0,65.2,27.0
Juninho Bacuna,20.0,21.0,16.0,1412.0,1.0,0.0,4.0,17.0,2.0,73.3,100.0
Elias Kachunga,26.0,20.0,13.0,1182.0,0.0,0.0,2.0,14.0,0.0,72.1,22.0
Tommy Smith,26.0,15.0,13.0,1141.0,0.0,0.0,2.0,2.0,0.0,76.1,57.0
Laurent Depoitre,29.0,23.0,10.0,1068.0,0.0,1.0,1.0,34.0,0.0,64.8,17.0
Isaac Mbenza,22.0,22.0,10.0,986.0,1.0,1.0,1.0,15.0,0.0,66.7,21.0
Karlan Grant,20.0,13.0,9.0,877.0,3.0,0.0,0.0,21.0,0.0,69.0,11.0
Jon Gorenc Stanković,22.0,11.0,9.0,715.0,1.0,0.0,2.0,9.0,0.0,78.7,24.0
Ben Hamer,30.0,7.0,7.0,552.0,0.0,0.0,0.0,0.0,0.0,46.9,0.0
Adama Diakhaby,22.0,12.0,6.0,552.0,0.0,0.0,1.0,7.0,0.0,72.0,11.0
Rajiv van La Parra,27.0,5.0,5.0,405.0,0.0,0.0,0.0,5.0,0.0,77.7,10.0
Jason Puncheon,32.0,6.0,5.0,382.0,0.0,0.0,1.0,6.0,0.0,78.5,28.0
Danny Williams,29.0,5.0,1.0,96.0,0.0,0.0,1.0,1.0,0.0,76.9,3.0
Joel Coleman,22.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,32.4,0.0
Aaron Rowe,17.0,2.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0,76.5,1.0
Abdelhamid Sabiri,21.0,2.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0
Demeaco Duhaney,19.0,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,71.4,6.0
Ramadan Sobhi,21.0,4.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,84.1,7.0
Matty Daly,17.0,2.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,53.8,0.0
Collin Quaner,27.0,2.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,76.5,3.0
