,Age,MP,Starts,Min,Gls,Ast,CrdY,Shot,FK,TotPassCmpPerc,Prog,Att 3rd,DribSucc,DribPl,Rec
Fabian Delph,28.0,11.0,8.0,725.0,0.0,1.0,1.0,4.0,0.0,91.3,63.0,191.0,6.0,6.0,613.0
Phil Foden,18.0,13.0,3.0,335.0,1.0,0.0,0.0,14.0,0.0,86.0,19.0,142.0,9.0,9.0,228.0
Alisson,25.0,38.0,38.0,3420.0,0.0,0.0,1.0,0.0,0.0,82.3,0.0,0.0,1.0,1.0,671.0
Virgil van Dijk,27.0,38.0,38.0,3384.0,4.0,2.0,1.0,32.0,1.0,90.4,157.0,126.0,7.0,8.0,2410.0
Mohamed Salah,26.0,38.0,37.0,3250.0,22.0,8.0,1.0,135.0,3.0,75.1,158.0,1173.0,79.0,86.0,1301.0
Andrew Robertson,24.0,36.0,36.0,3216.0,0.0,11.0,4.0,14.0,0.0,81.6,321.0,1041.0,30.0,32.0,2155.0
Sadio Mané,26.0,36.0,35.0,3077.0,22.0,1.0,2.0,88.0,0.0,76.7,111.0,962.0,61.0,67.0,1323.0
Georginio Wijnaldum,27.0,35.0,32.0,2725.0,3.0,0.0,3.0,30.0,0.0,91.1,131.0,439.0,33.0,36.0,1546.0
Roberto Firmino,26.0,34.0,31.0,2607.0,12.0,6.0,0.0,73.0,0.0,81.0,158.0,830.0,54.0,60.0,1327.0
Trent Alexander-Arnold,19.0,29.0,27.0,2462.0,1.0,12.0,3.0,29.0,9.0,74.3,322.0,862.0,20.0,23.0,1543.0
Fabinho,24.0,28.0,21.0,2017.0,1.0,2.0,6.0,17.0,0.0,86.0,135.0,324.0,14.0,16.0,1349.0
Jordan Henderson,28.0,32.0,21.0,1987.0,1.0,3.0,2.0,16.0,0.0,86.2,148.0,402.0,9.0,13.0,1481.0
James Milner,32.0,31.0,19.0,1789.0,5.0,4.0,6.0,21.0,1.0,80.5,207.0,622.0,17.0,18.0,1247.0
Joël Matip,26.0,22.0,17.0,1537.0,1.0,0.0,3.0,8.0,0.0,87.7,60.0,72.0,5.0,5.0,1079.0
Naby Keïta,23.0,25.0,16.0,1390.0,2.0,1.0,0.0,28.0,0.0,88.6,114.0,414.0,26.0,30.0,958.0
Joe Gomez,21.0,16.0,12.0,1063.0,0.0,0.0,2.0,4.0,0.0,85.1,42.0,59.0,4.0,5.0,631.0
Xherdan Shaqiri,26.0,24.0,11.0,1064.0,6.0,3.0,2.0,26.0,5.0,78.4,80.0,380.0,8.0,8.0,624.0
Dejan Lovren,29.0,13.0,11.0,986.0,1.0,0.0,1.0,6.0,0.0,88.5,29.0,20.0,0.0,0.0,655.0
Adam Lallana,30.0,13.0,5.0,468.0,0.0,0.0,1.0,5.0,0.0,83.2,35.0,175.0,9.0,10.0,282.0
Daniel Sturridge,28.0,18.0,4.0,509.0,2.0,1.0,1.0,18.0,0.0,78.7,31.0,130.0,5.0,5.0,211.0
Divock Origi,23.0,12.0,4.0,371.0,3.0,1.0,0.0,13.0,1.0,67.0,9.0,98.0,8.0,9.0,127.0
Alberto Moreno,26.0,2.0,2.0,154.0,0.0,0.0,0.0,1.0,0.0,87.3,15.0,39.0,4.0,4.0,96.0
Nathaniel Clyne,27.0,4.0,1.0,111.0,0.0,0.0,0.0,3.0,0.0,81.0,10.0,34.0,0.0,0.0,58.0
Alex Oxlade-Chamberlain,24.0,2.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,85.7,6.0,5.0,1.0,1.0,16.0
Rafael Camacho,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
César Azpilicueta,28.0,38.0,38.0,3402.0,1.0,5.0,4.0,17.0,0.0,85.4,231.0,904.0,16.0,17.0,2144.0
Jorginho,26.0,37.0,37.0,3156.0,2.0,0.0,8.0,18.0,0.0,89.1,317.0,682.0,15.0,16.0,2612.0
Kepa Arrizabalaga,23.0,36.0,36.0,3240.0,0.0,0.0,2.0,0.0,0.0,85.7,1.0,0.0,1.0,1.0,623.0
David Luiz,31.0,36.0,36.0,3238.0,3.0,2.0,3.0,33.0,9.0,87.5,232.0,137.0,8.0,8.0,2143.0
N'Golo Kanté,27.0,36.0,36.0,3092.0,4.0,4.0,3.0,29.0,0.0,87.8,150.0,920.0,32.0,36.0,1792.0
Antonio Rüdiger,25.0,33.0,33.0,2871.0,1.0,0.0,7.0,28.0,0.0,91.4,149.0,76.0,4.0,5.0,2079.0
Eden Hazard,27.0,37.0,32.0,2923.0,16.0,15.0,2.0,90.0,2.0,79.8,269.0,1673.0,134.0,143.0,2082.0
Marcos Alonso,27.0,31.0,31.0,2759.0,2.0,4.0,6.0,43.0,8.0,82.6,175.0,903.0,22.0,25.0,1706.0
Willian,29.0,32.0,26.0,2097.0,3.0,6.0,2.0,62.0,8.0,77.8,186.0,1008.0,37.0,41.0,1295.0
Pedro,31.0,31.0,21.0,1778.0,8.0,2.0,2.0,58.0,0.0,83.7,77.0,714.0,38.0,38.0,1122.0
Mateo Kovačić,24.0,32.0,21.0,1735.0,0.0,2.0,3.0,29.0,0.0,91.2,100.0,595.0,34.0,34.0,1418.0
Ross Barkley,24.0,27.0,13.0,1245.0,3.0,5.0,1.0,38.0,1.0,90.5,66.0,363.0,19.0,19.0,906.0
Gonzalo Higuaín,30.0,14.0,13.0,1085.0,5.0,0.0,0.0,45.0,0.0,77.8,11.0,272.0,14.0,15.0,380.0
Álvaro Morata,25.0,16.0,11.0,941.0,5.0,0.0,3.0,35.0,0.0,78.1,5.0,180.0,7.0,7.0,287.0
Olivier Giroud,31.0,27.0,7.0,847.0,2.0,4.0,1.0,31.0,0.0,69.3,12.0,201.0,2.0,2.0,293.0
Emerson Palmieri,23.0,10.0,7.0,663.0,0.0,0.0,0.0,5.0,2.0,87.1,37.0,251.0,10.0,11.0,422.0
Ruben Loftus-Cheek,22.0,24.0,6.0,998.0,6.0,2.0,0.0,27.0,0.0,88.0,51.0,343.0,27.0,29.0,607.0
Andreas Christensen,22.0,8.0,6.0,617.0,0.0,0.0,1.0,0.0,0.0,93.3,32.0,7.0,0.0,0.0,346.0
Callum Hudson-Odoi,17.0,10.0,4.0,393.0,0.0,1.0,0.0,6.0,0.0,81.4,16.0,167.0,11.0,11.0,239.0
Willy Caballero,36.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,29.0
Cesc Fàbregas,31.0,6.0,1.0,180.0,0.0,0.0,1.0,1.0,0.0,85.5,19.0,47.0,0.0,0.0,177.0
Davide Zappacosta,26.0,4.0,1.0,128.0,0.0,0.0,0.0,2.0,0.0,84.6,7.0,34.0,4.0,4.0,70.0
Victor Moses,27.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,78.6,1.0,12.0,0.0,0.0,16.0
Gary Cahill,32.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,90.0,6.0,0.0,0.0,0.0,15.0
Hugo Lloris,31.0,33.0,33.0,2970.0,0.0,0.0,0.0,0.0,0.0,76.1,0.0,0.0,0.0,0.0,634.0
Toby Alderweireld,29.0,34.0,33.0,2922.0,0.0,0.0,3.0,17.0,0.0,88.3,133.0,115.0,2.0,2.0,1899.0
Christian Eriksen,26.0,35.0,30.0,2774.0,8.0,12.0,3.0,84.0,12.0,77.6,228.0,931.0,21.0,23.0,1692.0
Harry Kane,25.0,28.0,27.0,2424.0,17.0,4.0,5.0,97.0,4.0,73.6,81.0,511.0,43.0,45.0,743.0
Moussa Sissoko,28.0,29.0,27.0,2330.0,0.0,3.0,2.0,15.0,0.0,86.3,102.0,412.0,45.0,49.0,1185.0
Kieran Trippier,27.0,27.0,26.0,2276.0,1.0,3.0,2.0,8.0,4.0,75.8,262.0,818.0,9.0,10.0,1346.0
Lucas Moura,25.0,32.0,25.0,2121.0,10.0,0.0,3.0,45.0,0.0,75.3,61.0,552.0,44.0,46.0,791.0
Son Heung-min,26.0,31.0,23.0,2039.0,12.0,6.0,2.0,75.0,1.0,83.7,71.0,662.0,55.0,62.0,858.0
Davinson Sánchez,22.0,23.0,22.0,1942.0,1.0,1.0,2.0,12.0,0.0,90.5,52.0,39.0,0.0,0.0,1152.0
Jan Vertonghen,31.0,22.0,22.0,1911.0,1.0,0.0,4.0,16.0,0.0,87.2,93.0,210.0,9.0,10.0,1221.0
Dele Alli,22.0,25.0,22.0,1825.0,5.0,3.0,4.0,40.0,1.0,80.3,99.0,567.0,28.0,33.0,965.0
Ben Davies,25.0,27.0,20.0,1844.0,0.0,0.0,2.0,15.0,0.0,81.5,145.0,400.0,4.0,5.0,946.0
Danny Rose,28.0,26.0,20.0,1798.0,0.0,3.0,5.0,15.0,0.0,74.1,130.0,534.0,35.0,39.0,898.0
Eric Dier,24.0,20.0,18.0,1506.0,3.0,0.0,4.0,9.0,0.0,84.1,78.0,137.0,4.0,4.0,880.0
Harry Winks,22.0,26.0,17.0,1597.0,1.0,0.0,4.0,9.0,0.0,92.0,85.0,266.0,16.0,18.0,1204.0
Juan Foyth,20.0,12.0,10.0,888.0,1.0,0.0,3.0,5.0,0.0,86.1,24.0,52.0,22.0,22.0,472.0
Érik Lamela,26.0,19.0,9.0,974.0,4.0,2.0,2.0,29.0,1.0,82.0,47.0,342.0,21.0,23.0,437.0
Mousa Dembélé,31.0,10.0,7.0,515.0,0.0,0.0,1.0,1.0,0.0,90.3,23.0,34.0,6.0,7.0,233.0
Fernando Llorente,33.0,20.0,6.0,694.0,1.0,4.0,2.0,23.0,0.0,69.1,6.0,171.0,9.0,10.0,254.0
Serge Aurier,25.0,8.0,6.0,564.0,0.0,2.0,1.0,4.0,0.0,73.8,40.0,146.0,8.0,10.0,238.0
Victor Wanyama,27.0,13.0,4.0,516.0,1.0,0.0,2.0,7.0,0.0,82.5,16.0,72.0,5.0,6.0,254.0
Kyle Walker-Peters,21.0,6.0,4.0,376.0,0.0,3.0,1.0,2.0,0.0,82.3,21.0,98.0,7.0,8.0,165.0
Paulo Gazzaniga,26.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,55.0
Oliver Skipp,17.0,8.0,2.0,220.0,0.0,0.0,0.0,2.0,0.0,84.7,5.0,31.0,2.0,3.0,110.0
Michel Vorm,34.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,0.0,0.0,0.0,32.0
Vincent Janssen,24.0,3.0,0.0,39.0,0.0,0.0,0.0,3.0,0.0,70.0,0.0,12.0,0.0,0.0,13.0
Georges-Kévin N'Koudou,23.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,75.0,1.0,5.0,0.0,0.0,5.0
Luke Amos,21.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0
Bernd Leno,26.0,32.0,31.0,2836.0,0.0,0.0,0.0,0.0,0.0,70.7,2.0,0.0,0.0,0.0,521.0
Shkodran Mustafi,26.0,31.0,31.0,2611.0,2.0,0.0,9.0,19.0,0.0,82.3,105.0,119.0,12.0,12.0,1369.0
Pierre-Emerick Aubameyang,29.0,36.0,30.0,2726.0,22.0,5.0,0.0,89.0,0.0,70.9,68.0,600.0,29.0,32.0,831.0
Granit Xhaka,25.0,29.0,29.0,2498.0,4.0,2.0,10.0,30.0,7.0,82.2,272.0,510.0,16.0,16.0,1851.0
Alexandre Lacazette,27.0,35.0,27.0,2502.0,13.0,8.0,2.0,81.0,1.0,72.6,79.0,664.0,52.0,53.0,893.0
Sokratis Papastathopoulos,30.0,25.0,25.0,2198.0,1.0,2.0,12.0,10.0,0.0,89.8,40.0,37.0,8.0,8.0,1129.0
Lucas Torreira,22.0,34.0,24.0,2382.0,2.0,2.0,7.0,24.0,2.0,87.5,137.0,348.0,22.0,23.0,1279.0
Mattéo Guendouzi,19.0,33.0,23.0,2149.0,0.0,0.0,9.0,15.0,0.0,87.0,146.0,401.0,31.0,33.0,1395.0
Alex Iwobi,22.0,35.0,22.0,1970.0,3.0,6.0,0.0,35.0,0.0,75.1,130.0,692.0,53.0,58.0,1073.0
Sead Kolašinac,25.0,24.0,22.0,1887.0,0.0,5.0,5.0,10.0,0.0,79.3,117.0,507.0,16.0,17.0,880.0
Nacho Monreal,32.0,22.0,21.0,1861.0,1.0,3.0,5.0,9.0,0.0,86.5,101.0,334.0,10.0,10.0,988.0
Mesut Özil,29.0,24.0,20.0,1735.0,5.0,2.0,2.0,11.0,0.0,87.2,147.0,668.0,18.0,19.0,1106.0
Henrikh Mkhitaryan,29.0,25.0,19.0,1641.0,6.0,4.0,1.0,50.0,1.0,75.8,96.0,538.0,24.0,27.0,776.0
Héctor Bellerín,23.0,19.0,18.0,1533.0,0.0,5.0,3.0,18.0,0.0,83.8,104.0,383.0,19.0,19.0,697.0
Aaron Ramsey,27.0,28.0,14.0,1331.0,4.0,6.0,0.0,33.0,0.0,81.9,70.0,399.0,12.0,14.0,769.0
Laurent Koscielny,32.0,17.0,13.0,1331.0,3.0,0.0,1.0,5.0,0.0,92.4,27.0,24.0,1.0,1.0,698.0
Ainsley Maitland-Niles,20.0,16.0,11.0,987.0,1.0,1.0,2.0,6.0,0.0,79.5,73.0,240.0,19.0,19.0,411.0
Stephan Lichtsteiner,34.0,14.0,10.0,938.0,0.0,0.0,3.0,1.0,0.0,76.7,47.0,181.0,8.0,8.0,438.0
Rob Holding,22.0,10.0,9.0,807.0,0.0,0.0,1.0,1.0,0.0,87.9,23.0,26.0,4.0,4.0,500.0
Petr Čech,36.0,7.0,7.0,584.0,0.0,0.0,0.0,0.0,0.0,69.4,0.0,1.0,1.0,1.0,130.0
Mohamed Elneny,26.0,8.0,5.0,380.0,0.0,0.0,0.0,7.0,0.0,90.2,28.0,56.0,1.0,1.0,251.0
Konstantinos Mavropanos,20.0,4.0,3.0,148.0,0.0,0.0,1.0,1.0,0.0,94.0,8.0,7.0,1.0,1.0,113.0
Carl Jenkinson,26.0,3.0,2.0,166.0,0.0,0.0,0.0,0.0,0.0,78.3,4.0,39.0,0.0,0.0,67.0
Danny Welbeck,27.0,8.0,1.0,153.0,1.0,1.0,0.0,4.0,0.0,75.9,11.0,36.0,3.0,3.0,56.0
Joe Willock,18.0,2.0,1.0,64.0,0.0,0.0,0.0,2.0,0.0,100.0,0.0,11.0,1.0,1.0,24.0
Denis Suárez,24.0,4.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,91.4,2.0,15.0,3.0,3.0,38.0
Eddie Nketiah,19.0,5.0,0.0,67.0,1.0,0.0,0.0,3.0,0.0,95.0,2.0,23.0,2.0,2.0,26.0
Bukayo Saka,16.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Conor Coady,25.0,38.0,38.0,3420.0,0.0,0.0,5.0,0.0,0.0,84.2,61.0,8.0,1.0,2.0,1267.0
Rui Patrício,30.0,37.0,37.0,3329.0,0.0,0.0,1.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,280.0
Willy Boly,27.0,36.0,36.0,3167.0,4.0,0.0,2.0,22.0,0.0,82.1,125.0,91.0,17.0,17.0,1282.0
Raúl Jiménez,27.0,38.0,36.0,3111.0,13.0,7.0,4.0,113.0,0.0,73.6,81.0,688.0,36.0,37.0,1133.0
Matt Doherty,26.0,38.0,35.0,3144.0,4.0,5.0,5.0,43.0,0.0,72.9,294.0,867.0,27.0,30.0,1294.0
João Moutinho,31.0,38.0,35.0,3032.0,1.0,8.0,4.0,18.0,1.0,80.5,263.0,673.0,15.0,15.0,1467.0
Ryan Bennett,28.0,34.0,34.0,3060.0,1.0,0.0,12.0,15.0,0.0,78.9,95.0,132.0,1.0,1.0,980.0
Rúben Neves,21.0,35.0,34.0,3007.0,4.0,3.0,8.0,71.0,11.0,80.6,176.0,339.0,12.0,14.0,1503.0
Jonny Castro,24.0,33.0,32.0,2771.0,1.0,1.0,6.0,26.0,0.0,80.6,107.0,653.0,26.0,27.0,955.0
Diogo Jota,21.0,33.0,29.0,2355.0,9.0,5.0,11.0,57.0,0.0,75.8,78.0,582.0,58.0,65.0,870.0
Leander Dendoncker,23.0,19.0,17.0,1467.0,2.0,0.0,1.0,16.0,0.0,80.6,37.0,209.0,12.0,12.0,504.0
Hélder Costa,24.0,25.0,16.0,1341.0,1.0,2.0,3.0,25.0,0.0,75.5,39.0,406.0,27.0,33.0,533.0
Romain Saïss,28.0,19.0,12.0,1149.0,2.0,0.0,7.0,11.0,0.0,78.3,59.0,75.0,5.0,5.0,528.0
Adama Traoré,22.0,29.0,8.0,902.0,1.0,1.0,1.0,19.0,0.0,71.9,45.0,254.0,57.0,63.0,371.0
Rúben Vinagre,19.0,17.0,7.0,710.0,0.0,0.0,1.0,5.0,0.0,71.0,50.0,191.0,14.0,14.0,303.0
Ivan Cavaleiro,24.0,23.0,6.0,693.0,3.0,1.0,1.0,12.0,0.0,70.8,30.0,281.0,17.0,17.0,359.0
Morgan Gibbs-White,18.0,26.0,5.0,663.0,0.0,1.0,1.0,8.0,0.0,80.7,23.0,161.0,13.0,15.0,315.0
John Ruddy,31.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,71.4,0.0,0.0,0.0,0.0,7.0
Léo Bonatini,24.0,7.0,0.0,135.0,0.0,1.0,0.0,9.0,0.0,74.5,5.0,45.0,0.0,0.0,62.0
Max Kilman,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Will Norris,24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Jordan Pickford,24.0,38.0,38.0,3420.0,0.0,0.0,1.0,0.0,0.0,59.8,1.0,0.0,0.0,0.0,563.0
Gylfi Sigurðsson,28.0,38.0,36.0,3117.0,13.0,6.0,3.0,81.0,7.0,67.4,190.0,797.0,38.0,42.0,996.0
Michael Keane,25.0,33.0,33.0,2969.0,1.0,2.0,2.0,29.0,0.0,82.5,108.0,81.0,5.0,7.0,1106.0
Lucas Digne,25.0,35.0,33.0,2965.0,4.0,4.0,5.0,34.0,11.0,70.9,293.0,895.0,14.0,16.0,1205.0
Idrissa Gana Gueye,28.0,33.0,32.0,2822.0,0.0,2.0,6.0,20.0,0.0,84.1,171.0,361.0,22.0,23.0,1302.0
Richarlison,21.0,35.0,32.0,2665.0,13.0,1.0,5.0,87.0,1.0,65.2,76.0,727.0,41.0,50.0,944.0
Kurt Zouma,23.0,32.0,29.0,2612.0,2.0,2.0,4.0,17.0,0.0,85.2,87.0,85.0,4.0,5.0,1042.0
Séamus Coleman,29.0,29.0,29.0,2558.0,2.0,2.0,1.0,13.0,0.0,76.9,188.0,583.0,25.0,26.0,1027.0
Bernard,25.0,34.0,25.0,2116.0,1.0,3.0,5.0,24.0,0.0,73.0,91.0,557.0,45.0,48.0,821.0
Theo Walcott,29.0,37.0,24.0,2119.0,5.0,2.0,1.0,43.0,0.0,70.8,66.0,472.0,25.0,27.0,677.0
André Gomes,25.0,27.0,24.0,1980.0,1.0,1.0,7.0,22.0,0.0,83.3,117.0,314.0,34.0,37.0,1008.0
Dominic Calvert-Lewin,21.0,35.0,19.0,1784.0,6.0,2.0,3.0,55.0,0.0,64.2,21.0,410.0,25.0,27.0,554.0
Cenk Tosun,27.0,25.0,10.0,1059.0,3.0,3.0,3.0,34.0,0.0,74.5,18.0,239.0,7.0,9.0,286.0
Tom Davies,20.0,16.0,10.0,980.0,0.0,0.0,3.0,7.0,0.0,78.9,51.0,169.0,10.0,12.0,418.0
Yerry Mina,23.0,13.0,10.0,892.0,1.0,0.0,3.0,4.0,0.0,84.6,34.0,25.0,1.0,1.0,371.0
Morgan Schneiderlin,28.0,14.0,10.0,834.0,0.0,1.0,2.0,3.0,0.0,89.0,29.0,79.0,7.0,7.0,422.0
Jonjoe Kenny,21.0,10.0,8.0,791.0,0.0,1.0,1.0,3.0,0.0,75.0,81.0,191.0,7.0,10.0,346.0
Leighton Baines,33.0,6.0,5.0,375.0,0.0,0.0,0.0,2.0,1.0,78.9,43.0,86.0,0.0,0.0,163.0
Mason Holgate,21.0,5.0,4.0,408.0,0.0,0.0,1.0,0.0,0.0,74.4,26.0,9.0,1.0,2.0,182.0
Phil Jagielka,35.0,7.0,4.0,331.0,1.0,0.0,0.0,1.0,0.0,76.8,6.0,7.0,0.0,0.0,125.0
Ademola Lookman,20.0,21.0,3.0,618.0,0.0,2.0,0.0,12.0,0.0,81.0,33.0,201.0,27.0,28.0,279.0
Oumar Niasse,28.0,5.0,0.0,63.0,0.0,0.0,0.0,3.0,0.0,59.1,3.0,28.0,1.0,2.0,37.0
James McCarthy,27.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,4.0
Kasper Schmeichel,31.0,38.0,38.0,3420.0,0.0,0.0,3.0,1.0,0.0,68.3,3.0,2.0,2.0,2.0,538.0
Wilfred Ndidi,21.0,38.0,37.0,3296.0,2.0,0.0,8.0,56.0,0.0,80.3,153.0,399.0,40.0,45.0,1533.0
Ben Chilwell,21.0,36.0,36.0,3240.0,0.0,4.0,4.0,20.0,0.0,70.3,211.0,969.0,37.0,44.0,1624.0
Ricardo Pereira,24.0,35.0,35.0,3123.0,2.0,6.0,7.0,26.0,0.0,76.4,224.0,767.0,62.0,72.0,1409.0
James Maddison,21.0,36.0,35.0,2831.0,7.0,7.0,4.0,82.0,14.0,76.9,237.0,946.0,43.0,46.0,1394.0
Harry Maguire,25.0,31.0,31.0,2596.0,3.0,0.0,6.0,29.0,0.0,85.5,166.0,192.0,17.0,17.0,1299.0
Jamie Vardy,31.0,34.0,30.0,2726.0,18.0,4.0,3.0,75.0,0.0,64.6,38.0,403.0,19.0,21.0,490.0
Nampalys Mendy,26.0,31.0,23.0,2092.0,0.0,0.0,5.0,3.0,0.0,87.6,80.0,200.0,19.0,21.0,870.0
Demarai Gray,22.0,34.0,23.0,1985.0,4.0,1.0,2.0,46.0,1.0,73.8,46.0,488.0,46.0,46.0,733.0
Jonny Evans,30.0,24.0,21.0,1996.0,1.0,0.0,2.0,10.0,0.0,85.6,35.0,49.0,0.0,0.0,732.0
Wes Morgan,34.0,22.0,21.0,1925.0,3.0,0.0,3.0,14.0,0.0,82.5,34.0,46.0,3.0,3.0,634.0
Marc Albrighton,28.0,27.0,18.0,1625.0,2.0,2.0,3.0,19.0,0.0,59.1,101.0,428.0,22.0,24.0,676.0
Youri Tielemans,21.0,13.0,13.0,1086.0,3.0,4.0,2.0,30.0,2.0,84.0,71.0,260.0,13.0,13.0,587.0
Harvey Barnes,20.0,16.0,11.0,1004.0,1.0,2.0,0.0,39.0,0.0,74.7,35.0,324.0,20.0,21.0,378.0
Kelechi Iheanacho,21.0,30.0,9.0,941.0,1.0,3.0,2.0,19.0,0.0,75.3,22.0,205.0,11.0,11.0,308.0
Rachid Ghezzal,26.0,19.0,8.0,743.0,1.0,0.0,3.0,21.0,1.0,76.2,53.0,281.0,14.0,16.0,412.0
Daniel Amartey,23.0,9.0,7.0,641.0,0.0,0.0,2.0,4.0,0.0,81.8,42.0,62.0,1.0,2.0,274.0
Hamza Choudhury,20.0,9.0,7.0,595.0,0.0,0.0,0.0,4.0,0.0,87.0,18.0,68.0,2.0,2.0,175.0
