,index,Age,MP,Starts,CrdY,P90Gls,P90Ast,90s,Sh/90,SoT/90,TotPassCmp,KP,Prog,DribPl,Annual_Salary(GBP),Pos
163,henrikh mkhitaryan,29.0,25.0,19.0,1.0,0.33,0.22,18.2,2.74,0.77,661.0,27.0,96.0,27.0,9360000.0,F
164,hugo lloris,31.0,33.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,890.0,1.0,0.0,0.0,5200000.0,G
165,idrissa gana gueye,28.0,33.0,32.0,6.0,0.0,0.06,31.4,0.64,0.1,1478.0,19.0,171.0,23.0,3640000,M
166,ilkay gundogan,27.0,31.0,23.0,3.0,0.25,0.13,23.7,1.81,0.46,1837.0,43.0,201.0,18.0,6240000.0,M
167,isaac hayden,23.0,25.0,21.0,3.0,0.05,0.19,20.7,0.97,0.24,581.0,20.0,55.0,13.0,1144000.0,M
168,isaac success,22.0,30.0,9.0,4.0,0.09,0.09,11.7,2.4,0.94,262.0,19.0,35.0,18.0,1560000.0,F
169,issa diop,21.0,33.0,33.0,4.0,0.03,0.0,33.0,0.42,0.12,973.0,2.0,64.0,5.0,3484000.0,D
170,ivan cavaleiro,24.0,23.0,6.0,1.0,0.39,0.13,7.7,1.56,0.52,252.0,17.0,30.0,17.0,1450000.0,F
171,jack cork,29.0,37.0,37.0,6.0,0.03,0.05,36.8,0.41,0.05,1081.0,17.0,95.0,29.0,1976000.0,M
172,jack simpson,21.0,6.0,4.0,0.0,0.0,0.0,4.5,0.45,0.22,191.0,1.0,10.0,0.0,156000.0,D
173,jack stephens,24.0,24.0,19.0,4.0,0.05,0.0,18.9,0.37,0.26,599.0,4.0,60.0,4.0,2496000.0,D
174,jack wilshere,26.0,8.0,4.0,2.0,0.0,0.23,4.4,0.46,0.23,190.0,5.0,11.0,8.0,5200000.0,M
175,jacob murphy,23.0,9.0,3.0,0.0,0.0,0.3,3.4,0.6,0.3,39.0,1.0,9.0,3.0,1300000.0,M
176,jamaal lascelles,24.0,32.0,32.0,4.0,0.0,0.03,30.5,0.33,0.03,836.0,2.0,53.0,3.0,2080000.0,D
177,james garner,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,M
178,james maddison,21.0,36.0,35.0,4.0,0.22,0.22,31.5,2.61,0.86,1243.0,96.0,237.0,46.0,2860000.0,M
179,james mcarthur,30.0,38.0,36.0,7.0,0.09,0.18,34.0,1.0,0.24,1151.0,30.0,101.0,30.0,2860000.0,M
180,james mccarthy,27.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,7.0,0.0,0.0,0.0,2600000.0,M
181,james milner,32.0,31.0,19.0,6.0,0.25,0.2,19.9,1.06,0.2,1300.0,45.0,207.0,18.0,7280000.0,M
182,james tarkowski,25.0,35.0,35.0,8.0,0.09,0.03,34.3,0.7,0.23,790.0,6.0,102.0,9.0,2600000.0,D
183,james tomkins,29.0,29.0,29.0,5.0,0.04,0.04,28.4,0.81,0.25,915.0,6.0,51.0,1.0,2600000.0,D
184,james ward-prowse,23.0,26.0,21.0,4.0,0.32,0.0,21.6,1.39,0.65,622.0,44.0,88.0,7.0,2340000.0,M
185,jamie vardy,31.0,34.0,30.0,3.0,0.59,0.13,30.3,2.48,1.06,286.0,29.0,38.0,21.0,7280000.0,F
186,jan bednarek,22.0,25.0,24.0,7.0,0.0,0.04,23.9,0.25,0.04,591.0,7.0,71.0,2.0,1040000.0,D
187,jan vertonghen,31.0,22.0,22.0,4.0,0.05,0.0,21.2,0.75,0.09,1338.0,3.0,93.0,10.0,5200000.0,D
188,jannik vestergaard,25.0,23.0,23.0,2.0,0.0,0.0,22.5,0.58,0.04,671.0,6.0,73.0,12.0,3120000.0,D
189,jason puncheon,32.0,5.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,10.0,1.0,0.0,0.0,1820000.0,M
190,javier hernandez,30.0,25.0,14.0,2.0,0.47,0.07,14.8,2.29,1.08,239.0,6.0,23.0,14.0,7280000,F
191,javier manquillo,24.0,18.0,12.0,2.0,0.0,0.25,12.2,0.16,0.08,352.0,8.0,77.0,6.0,1820000.0,D
192,jeff hendrick,26.0,32.0,25.0,4.0,0.13,0.0,22.9,0.83,0.26,511.0,15.0,59.0,18.0,1820000.0,M
193,jefferson lerma,23.0,30.0,29.0,12.0,0.07,0.0,27.8,1.19,0.29,1320.0,15.0,117.0,28.0,2600000.0,M
194,jeffrey schlupp,25.0,30.0,18.0,1.0,0.22,0.05,18.6,1.56,0.49,484.0,17.0,60.0,28.0,2912000.0,M
195,jermain defoe,35.0,4.0,0.0,0.0,0.0,0.0,0.3,3.6,3.6,0.0,0.0,0.0,0.0,3380000,D
196,jesse lingard,25.0,27.0,19.0,3.0,0.22,0.11,18.5,1.68,0.65,668.0,17.0,49.0,23.0,3900000.0,F
197,joao moutinho,31.0,38.0,35.0,4.0,0.03,0.24,33.7,0.53,0.09,1660.0,80.0,263.0,15.0,5200000,M
198,joe gomez,21.0,16.0,12.0,2.0,0.0,0.0,11.8,0.34,0.08,705.0,6.0,42.0,5.0,1560000.0,D
199,joe hart,31.0,19.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0,262.0,1.0,4.0,0.0,2340000.0,G
200,joe willock,18.0,2.0,1.0,0.0,0.0,0.0,0.7,2.81,0.0,12.0,0.0,0.0,1.0,NaN,M
201,joel matip,26.0,22.0,17.0,3.0,0.06,0.0,17.1,0.47,0.12,1158.0,2.0,60.0,5.0,5200000.0,D
202,joel ward,28.0,7.0,6.0,1.0,0.16,0.0,6.1,0.33,0.16,185.0,3.0,28.0,2.0,1820000.0,D
203,johann berg gudmundsson,27.0,29.0,19.0,2.0,0.15,0.31,19.5,1.75,0.57,407.0,40.0,87.0,19.0,1560000.0,M
204,john ruddy,31.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,1820000.0,G
205,john stones,24.0,24.0,20.0,1.0,0.0,0.0,19.6,0.26,0.05,1646.0,5.0,86.0,5.0,5200000.0,D
206,jonjo shelvey,26.0,16.0,10.0,1.0,0.09,0.09,10.5,2.28,0.76,458.0,24.0,99.0,15.0,3640000.0,M
207,jonjoe kenny,21.0,10.0,8.0,1.0,0.0,0.11,8.8,0.34,0.0,431.0,5.0,81.0,10.0,780000.0,D
208,jonny castro,24.0,33.0,32.0,6.0,0.03,0.03,30.8,0.84,0.23,1124.0,25.0,107.0,27.0,1907000.0,D
209,jonny evans,30.0,24.0,21.0,2.0,0.05,0.0,22.2,0.45,0.18,867.0,4.0,35.0,0.0,4160000.0,D
210,jordan ayew,26.0,20.0,14.0,3.0,0.08,0.15,13.1,1.98,0.23,201.0,13.0,16.0,25.0,NaN,F
211,jordan henderson,28.0,32.0,21.0,2.0,0.05,0.14,22.1,0.72,0.05,1550.0,14.0,148.0,13.0,7280000.0,M
212,jordan pickford,24.0,38.0,38.0,1.0,0.0,0.0,38.0,0.0,0.0,748.0,1.0,1.0,0.0,5200000.0,G
213,jordon ibe,22.0,19.0,9.0,1.0,0.11,0.11,8.9,1.02,0.34,214.0,10.0,44.0,25.0,1976000.0,M
214,jorginho,26.0,37.0,37.0,8.0,0.06,0.0,35.1,0.51,0.17,2703.0,29.0,317.0,16.0,5400000,M
215,jose holebas,34.0,28.0,27.0,12.0,0.11,0.23,26.6,0.64,0.23,819.0,36.0,175.0,25.0,1560000.0,D
216,jose izquierdo,26.0,15.0,9.0,1.0,0.0,0.11,8.8,1.7,0.45,162.0,5.0,18.0,13.0,2340000.0,M
217,joselu,28.0,16.0,5.0,1.0,0.3,0.0,6.6,2.42,0.76,124.0,1.0,12.0,7.0,2080000,F
