,index,MP,Starts,Min,Gls,Ast,ShotonTarget,TotPassCmp,Prog,Touches_Att3rd,DribSucc,DribPl,Rec,Annual_Salary(GBP)
400,victor lindelof,30.0,29.0,2601.0,1.0,1.0,1.0,1323.0,71.0,38.0,7.0,7.0,1142.0,6240000.0
401,victor moses,2.0,0.0,28.0,0.0,0.0,0.0,11.0,1.0,12.0,0.0,0.0,16.0,3900000.0
402,victor wanyama,13.0,4.0,516.0,1.0,0.0,2.0,259.0,16.0,72.0,5.0,6.0,254.0,3380000.0
403,vincent janssen,3.0,0.0,39.0,0.0,0.0,2.0,7.0,0.0,12.0,0.0,0.0,13.0,1768000.0
404,vincent kompany,17.0,13.0,1224.0,1.0,0.0,1.0,1127.0,68.0,42.0,3.0,3.0,1053.0,6240000.0
405,virgil van dijk,38.0,38.0,3384.0,4.0,2.0,8.0,2709.0,157.0,126.0,7.0,8.0,2410.0,9360000.0
406,wayne hennessey,18.0,17.0,1576.0,0.0,0.0,0.0,259.0,1.0,0.0,0.0,0.0,170.0,2080000.0
407,wes morgan,22.0,21.0,1925.0,3.0,0.0,5.0,739.0,34.0,46.0,3.0,3.0,634.0,3120000.0
408,wesley hoedt,13.0,13.0,1170.0,0.0,0.0,1.0,495.0,36.0,26.0,6.0,6.0,447.0,3120000.0
409,wilfred ndidi,38.0,37.0,3296.0,2.0,0.0,9.0,1634.0,153.0,399.0,40.0,45.0,1533.0,0.0
410,wilfried zaha,34.0,34.0,3036.0,10.0,5.0,30.0,839.0,147.0,945.0,143.0,155.0,1339.0,6760000.0
411,will hughes,32.0,31.0,2418.0,2.0,4.0,8.0,773.0,108.0,573.0,21.0,23.0,921.0,1560000.0
412,will norris,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0
413,willian,32.0,26.0,2097.0,3.0,6.0,22.0,1100.0,186.0,1008.0,37.0,41.0,1295.0,0.0
414,willy boly,36.0,36.0,3167.0,4.0,0.0,6.0,1392.0,125.0,91.0,17.0,17.0,1282.0,2080000.0
415,willy caballero,2.0,2.0,180.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,29.0,2080000.0
416,xande silva,1.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,6.0,0.0
417,xherdan shaqiri,24.0,11.0,1064.0,6.0,3.0,10.0,545.0,80.0,380.0,8.0,8.0,624.0,4160000.0
418,yan valery,23.0,20.0,1712.0,2.0,1.0,5.0,380.0,83.0,340.0,22.0,26.0,385.0,0.0
419,yerry mina,13.0,10.0,892.0,1.0,0.0,1.0,413.0,34.0,25.0,1.0,1.0,371.0,6240000.0
420,yoshinori muto,17.0,5.0,524.0,1.0,0.0,3.0,89.0,8.0,95.0,11.0,11.0,123.0,2808000.0
421,youri tielemans,13.0,13.0,1086.0,3.0,4.0,10.0,542.0,71.0,260.0,13.0,13.0,587.0,0.0
422,yves bissouma,28.0,17.0,1774.0,0.0,0.0,3.0,596.0,52.0,289.0,51.0,59.0,636.0,1300000.0
