,index,MP,Starts,Min,Gls,Ast,ShotonTarget,TotPassCmp,Prog,Touches_Att3rd,DribSucc,DribPl,Rec,Annual_Salary(GBP)
132,fabian balbuena,23.0,23.0,2013.0,1.0,0.0,2.0,655.0,42.0,41.0,2.0,2.0,584.0,2080000.0
133,fabian delph,11.0,8.0,725.0,0.0,1.0,3.0,692.0,63.0,191.0,6.0,6.0,613.0,4680000.0
134,fabian schar,24.0,22.0,1999.0,4.0,1.0,7.0,699.0,77.0,110.0,12.0,13.0,765.0,2080000.0
135,fabinho,28.0,21.0,2017.0,1.0,2.0,4.0,1403.0,135.0,324.0,14.0,16.0,1349.0,0.0
136,federico fernandez,19.0,17.0,1484.0,0.0,1.0,1.0,483.0,45.0,28.0,2.0,2.0,436.0,2236000.0
137,felipe anderson,36.0,36.0,3043.0,9.0,4.0,24.0,1328.0,223.0,1039.0,84.0,89.0,1650.0,4420000.0
138,fernandinho,29.0,27.0,2377.0,1.0,3.0,7.0,1804.0,218.0,447.0,8.0,12.0,1760.0,0.0
139,fernando llorente,20.0,6.0,694.0,1.0,4.0,5.0,152.0,6.0,171.0,9.0,10.0,254.0,3900000.0
140,florian lejeune,12.0,12.0,1054.0,0.0,0.0,2.0,427.0,33.0,41.0,3.0,3.0,395.0,1976000.0
141,florin andone,23.0,8.0,881.0,3.0,0.0,7.0,122.0,6.0,175.0,13.0,16.0,241.0,2080000.0
142,fousseni diabate,1.0,1.0,54.0,0.0,0.0,0.0,10.0,1.0,6.0,0.0,0.0,16.0,780000.0
143,fraser forster,1.0,1.0,90.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,3640000.0
144,fred,17.0,13.0,1041.0,1.0,1.0,2.0,656.0,72.0,171.0,11.0,13.0,647.0,0.0
145,gabriel jesus,29.0,8.0,1036.0,7.0,3.0,22.0,296.0,21.0,326.0,23.0,26.0,422.0,4680000.0
146,gaetan bong,22.0,19.0,1808.0,0.0,0.0,0.0,598.0,116.0,249.0,11.0,14.0,487.0,1040000.0
147,gary cahill,2.0,0.0,24.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,0.0,15.0,5200000.0
148,georges-kevin n'koudou,1.0,0.0,5.0,0.0,1.0,0.0,3.0,1.0,5.0,0.0,0.0,5.0,0.0
149,georginio wijnaldum,35.0,32.0,2725.0,3.0,0.0,8.0,1620.0,131.0,439.0,33.0,36.0,1546.0,3900000.0
150,gerard deulofeu,30.0,26.0,2066.0,10.0,5.0,23.0,580.0,85.0,668.0,44.0,46.0,802.0,3120000.0
151,glenn murray,38.0,30.0,2508.0,13.0,1.0,16.0,385.0,36.0,416.0,14.0,16.0,731.0,1560000.0
152,gonzalo higuain,14.0,13.0,1085.0,5.0,0.0,13.0,253.0,11.0,272.0,14.0,15.0,380.0,0.0
153,grady diangana,17.0,6.0,609.0,0.0,1.0,3.0,200.0,24.0,177.0,17.0,19.0,265.0,0.0
154,granit xhaka,29.0,29.0,2498.0,4.0,2.0,11.0,1955.0,272.0,510.0,16.0,16.0,1851.0,5200000.0
155,gylfi sigurdsson,38.0,36.0,3117.0,13.0,6.0,29.0,830.0,190.0,797.0,38.0,42.0,996.0,5200000.0
156,hamza choudhury,9.0,7.0,595.0,0.0,0.0,2.0,207.0,18.0,68.0,2.0,2.0,175.0,416000.0
157,harry kane,28.0,27.0,2424.0,17.0,4.0,42.0,423.0,81.0,511.0,43.0,45.0,743.0,10400000.0
158,harry maguire,31.0,31.0,2596.0,3.0,0.0,11.0,1496.0,166.0,192.0,17.0,17.0,1299.0,4680000.0
159,harry winks,26.0,17.0,1597.0,1.0,0.0,2.0,1286.0,85.0,266.0,16.0,18.0,1204.0,2600000.0
160,harvey barnes,16.0,11.0,1004.0,1.0,2.0,11.0,257.0,35.0,324.0,20.0,21.0,378.0,0.0
161,hector bellerin,19.0,18.0,1533.0,0.0,5.0,4.0,794.0,104.0,383.0,19.0,19.0,697.0,5720000.0
162,helder costa,25.0,16.0,1341.0,1.0,2.0,7.0,372.0,39.0,406.0,27.0,33.0,533.0,1690000.0
163,henrikh mkhitaryan,25.0,19.0,1641.0,6.0,4.0,14.0,661.0,96.0,538.0,24.0,27.0,776.0,9360000.0
164,hugo lloris,33.0,33.0,2970.0,0.0,0.0,0.0,890.0,0.0,0.0,0.0,0.0,634.0,5200000.0
165,idrissa gana gueye,33.0,32.0,2822.0,0.0,2.0,3.0,1478.0,171.0,361.0,22.0,23.0,1302.0,0.0
166,ilkay gundogan,31.0,23.0,2137.0,6.0,3.0,11.0,1837.0,201.0,824.0,17.0,18.0,1806.0,6240000.0
167,isaac hayden,25.0,21.0,1859.0,1.0,4.0,5.0,581.0,55.0,229.0,11.0,13.0,513.0,1144000.0
168,isaac success,30.0,9.0,1052.0,1.0,1.0,11.0,262.0,35.0,304.0,16.0,18.0,442.0,1560000.0
169,issa diop,33.0,33.0,2970.0,1.0,0.0,4.0,973.0,64.0,29.0,5.0,5.0,801.0,3484000.0
170,ivan cavaleiro,23.0,6.0,693.0,3.0,1.0,4.0,252.0,30.0,281.0,17.0,17.0,359.0,1450000.0
171,jack cork,37.0,37.0,3312.0,1.0,2.0,2.0,1081.0,95.0,332.0,27.0,29.0,996.0,1976000.0
172,jack simpson,6.0,4.0,403.0,0.0,0.0,1.0,191.0,10.0,6.0,0.0,0.0,171.0,156000.0
173,jack stephens,24.0,19.0,1700.0,1.0,0.0,5.0,599.0,60.0,59.0,3.0,4.0,501.0,2496000.0
174,jack wilshere,8.0,4.0,392.0,0.0,1.0,1.0,190.0,11.0,58.0,8.0,8.0,185.0,5200000.0
175,jacob murphy,9.0,3.0,302.0,0.0,1.0,1.0,39.0,9.0,57.0,3.0,3.0,58.0,1300000.0
176,jamaal lascelles,32.0,32.0,2745.0,0.0,1.0,1.0,836.0,53.0,53.0,3.0,3.0,685.0,2080000.0
177,james garner,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,james maddison,36.0,35.0,2831.0,7.0,7.0,27.0,1243.0,237.0,946.0,43.0,46.0,1394.0,2860000.0
179,james mcarthur,38.0,36.0,3058.0,3.0,6.0,8.0,1151.0,101.0,472.0,29.0,30.0,1141.0,2860000.0
180,james mccarthy,1.0,0.0,15.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,2600000.0
181,james milner,31.0,19.0,1789.0,5.0,4.0,4.0,1300.0,207.0,622.0,17.0,18.0,1247.0,7280000.0
182,james tarkowski,35.0,35.0,3086.0,3.0,1.0,8.0,790.0,102.0,76.0,7.0,9.0,703.0,2600000.0
183,james tomkins,29.0,29.0,2560.0,1.0,1.0,7.0,915.0,51.0,71.0,1.0,1.0,803.0,2600000.0
184,james ward-prowse,26.0,21.0,1945.0,7.0,0.0,14.0,622.0,88.0,482.0,6.0,7.0,596.0,2340000.0
185,jamie vardy,34.0,30.0,2726.0,18.0,4.0,32.0,286.0,38.0,403.0,19.0,21.0,490.0,7280000.0
186,jan bednarek,25.0,24.0,2151.0,0.0,1.0,1.0,591.0,71.0,36.0,2.0,2.0,471.0,1040000.0
187,jan vertonghen,22.0,22.0,1911.0,1.0,0.0,2.0,1338.0,93.0,210.0,9.0,10.0,1221.0,5200000.0
188,jannik vestergaard,23.0,23.0,2027.0,0.0,0.0,1.0,671.0,73.0,61.0,12.0,12.0,539.0,3120000.0
189,jason puncheon,5.0,0.0,13.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,8.0,1820000.0
190,javier hernandez,25.0,14.0,1334.0,7.0,1.0,16.0,239.0,23.0,215.0,14.0,14.0,373.0,0.0
191,javier manquillo,18.0,12.0,1101.0,0.0,3.0,1.0,352.0,77.0,208.0,5.0,6.0,303.0,1820000.0
192,jeff hendrick,32.0,25.0,2063.0,3.0,0.0,6.0,511.0,59.0,327.0,14.0,18.0,557.0,1820000.0
193,jefferson lerma,30.0,29.0,2506.0,2.0,0.0,8.0,1320.0,117.0,313.0,28.0,28.0,1168.0,2600000.0
194,jeffrey schlupp,30.0,18.0,1670.0,4.0,1.0,9.0,484.0,60.0,277.0,26.0,28.0,586.0,2912000.0
195,jermain defoe,4.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
196,jesse lingard,27.0,19.0,1663.0,4.0,2.0,12.0,668.0,49.0,449.0,19.0,23.0,765.0,3900000.0
197,joao moutinho,38.0,35.0,3032.0,1.0,8.0,3.0,1660.0,263.0,673.0,15.0,15.0,1467.0,0.0
198,joe gomez,16.0,12.0,1063.0,0.0,0.0,1.0,705.0,42.0,59.0,4.0,5.0,631.0,1560000.0
199,joe hart,19.0,19.0,1710.0,0.0,0.0,0.0,262.0,4.0,1.0,0.0,0.0,197.0,2340000.0
200,joe willock,2.0,1.0,64.0,0.0,0.0,0.0,12.0,0.0,11.0,1.0,1.0,24.0,0.0
201,joel matip,22.0,17.0,1537.0,1.0,0.0,2.0,1158.0,60.0,72.0,5.0,5.0,1079.0,5200000.0
202,joel ward,7.0,6.0,552.0,1.0,0.0,1.0,185.0,28.0,68.0,2.0,2.0,140.0,1820000.0
203,johann berg gudmundsson,29.0,19.0,1752.0,3.0,6.0,11.0,407.0,87.0,455.0,18.0,19.0,497.0,1560000.0
204,john ruddy,1.0,1.0,90.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,7.0,1820000.0
205,john stones,24.0,20.0,1764.0,0.0,0.0,1.0,1646.0,86.0,118.0,5.0,5.0,1504.0,5200000.0
206,jonjo shelvey,16.0,10.0,948.0,1.0,1.0,8.0,458.0,99.0,190.0,14.0,15.0,470.0,3640000.0
207,jonjoe kenny,10.0,8.0,791.0,0.0,1.0,0.0,431.0,81.0,191.0,7.0,10.0,346.0,780000.0
208,jonny castro,33.0,32.0,2771.0,1.0,1.0,7.0,1124.0,107.0,653.0,26.0,27.0,955.0,1907000.0
209,jonny evans,24.0,21.0,1996.0,1.0,0.0,4.0,867.0,35.0,49.0,0.0,0.0,732.0,4160000.0
210,jordan ayew,20.0,14.0,1181.0,1.0,2.0,3.0,201.0,16.0,237.0,24.0,25.0,330.0,0.0
211,jordan henderson,32.0,21.0,1987.0,1.0,3.0,1.0,1550.0,148.0,402.0,9.0,13.0,1481.0,7280000.0
212,jordan pickford,38.0,38.0,3420.0,0.0,0.0,0.0,748.0,1.0,0.0,0.0,0.0,563.0,5200000.0
213,jordon ibe,19.0,9.0,797.0,1.0,1.0,3.0,214.0,44.0,220.0,25.0,25.0,284.0,1976000.0
214,jorginho,37.0,37.0,3156.0,2.0,0.0,6.0,2703.0,317.0,682.0,15.0,16.0,2612.0,0.0
215,jose holebas,28.0,27.0,2393.0,3.0,6.0,6.0,819.0,175.0,562.0,23.0,25.0,618.0,1560000.0
216,jose izquierdo,15.0,9.0,795.0,0.0,1.0,4.0,162.0,18.0,152.0,11.0,13.0,196.0,2340000.0
217,joselu,16.0,5.0,596.0,2.0,0.0,5.0,124.0,12.0,105.0,7.0,7.0,207.0,0.0
218,josh sims,7.0,2.0,212.0,0.0,1.0,1.0,36.0,3.0,37.0,3.0,3.0,45.0,0.0
219,joshua king,35.0,34.0,2961.0,12.0,3.0,18.0,607.0,94.0,703.0,73.0,79.0,1002.0,2340000.0
220,juan foyth,12.0,10.0,888.0,1.0,0.0,1.0,506.0,24.0,52.0,22.0,22.0,472.0,1118000.0
221,juan mata,22.0,16.0,1289.0,3.0,2.0,6.0,618.0,84.0,406.0,12.0,13.0,659.0,8320000.0
222,julian speroni,1.0,1.0,90.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,8.0,1300000.0
223,junior stanislas,23.0,11.0,1031.0,2.0,3.0,9.0,409.0,66.0,319.0,17.0,18.0,470.0,1820000.0
224,jurgen locadia,26.0,12.0,1236.0,2.0,0.0,9.0,263.0,25.0,250.0,8.0,8.0,343.0,2340000.0
225,kasper schmeichel,38.0,38.0,3420.0,0.0,0.0,0.0,825.0,3.0,2.0,2.0,2.0,538.0,6760000.0
226,kayne ramsey,1.0,1.0,90.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,8.0,0.0
227,kelechi iheanacho,30.0,9.0,941.0,1.0,3.0,6.0,217.0,22.0,205.0,11.0,11.0,308.0,3120000.0
228,ken sema,17.0,9.0,754.0,1.0,2.0,3.0,186.0,20.0,176.0,22.0,22.0,266.0,780000.0
229,kenedy,25.0,14.0,1348.0,1.0,1.0,5.0,386.0,53.0,288.0,42.0,46.0,435.0,0.0
230,kepa arrizabalaga,36.0,36.0,3240.0,0.0,0.0,0.0,974.0,1.0,0.0,1.0,1.0,623.0,7800000.0
231,kevin de bruyne,19.0,11.0,975.0,2.0,2.0,11.0,625.0,110.0,516.0,17.0,20.0,730.0,18200000.0
232,kevin long,6.0,5.0,514.0,0.0,1.0,0.0,139.0,10.0,5.0,0.0,0.0,114.0,1200000.0
233,ki sung-yueng,18.0,14.0,1302.0,0.0,1.0,2.0,520.0,82.0,179.0,4.0,5.0,433.0,2080000.0
234,kieran trippier,27.0,26.0,2276.0,1.0,3.0,3.0,1515.0,262.0,818.0,9.0,10.0,1346.0,3380000.0
235,kiko femenia,29.0,22.0,2049.0,1.0,1.0,3.0,950.0,131.0,414.0,16.0,17.0,793.0,1040000.0
236,konstantinos mavropanos,4.0,3.0,148.0,0.0,0.0,0.0,125.0,8.0,7.0,1.0,1.0,113.0,1300000.0
237,kurt zouma,32.0,29.0,2612.0,2.0,2.0,4.0,1218.0,87.0,85.0,4.0,5.0,1042.0,4000000.0
238,kyle walker,33.0,30.0,2779.0,1.0,1.0,3.0,2337.0,189.0,753.0,23.0,25.0,2128.0,5200000.0
239,kyle walker-peters,6.0,4.0,376.0,0.0,3.0,0.0,186.0,21.0,98.0,7.0,8.0,165.0,1040000.0
240,laurent koscielny,17.0,13.0,1331.0,3.0,0.0,4.0,805.0,27.0,24.0,1.0,1.0,698.0,4680000.0
241,leander dendoncker,19.0,17.0,1467.0,2.0,0.0,9.0,504.0,37.0,209.0,12.0,12.0,504.0,1972000.0
242,leighton baines,6.0,5.0,375.0,0.0,0.0,1.0,206.0,43.0,86.0,0.0,0.0,163.0,3640000.0
243,leo bonatini,7.0,0.0,135.0,0.0,1.0,1.0,41.0,5.0,45.0,0.0,0.0,62.0,1820000.0
244,leon balogun,8.0,5.0,594.0,1.0,0.0,1.0,174.0,4.0,7.0,2.0,3.0,152.0,950000.0
245,leroy sane,31.0,21.0,1867.0,10.0,10.0,24.0,750.0,93.0,932.0,60.0,65.0,986.0,4680000.0
246,lewis cook,13.0,8.0,723.0,0.0,0.0,0.0,328.0,40.0,95.0,9.0,9.0,318.0,1820000.0
247,lewis dunk,36.0,36.0,3151.0,2.0,1.0,4.0,1240.0,50.0,83.0,1.0,1.0,1061.0,2340000.0
248,lucas digne,35.0,33.0,2965.0,4.0,4.0,10.0,1460.0,293.0,895.0,14.0,16.0,1205.0,4680000.0
249,lucas moura,32.0,25.0,2121.0,10.0,0.0,20.0,561.0,61.0,552.0,44.0,46.0,791.0,4160000.0
250,lucas perez,15.0,4.0,475.0,3.0,0.0,3.0,102.0,5.0,107.0,5.0,5.0,143.0,4160000.0
251,lucas torreira,34.0,24.0,2382.0,2.0,2.0,6.0,1420.0,137.0,348.0,22.0,23.0,1279.0,3900000.0
252,luka milivojevic,38.0,38.0,3420.0,12.0,2.0,13.0,1629.0,248.0,545.0,18.0,20.0,1486.0,2860000.0
253,lukasz fabianski,38.0,38.0,3420.0,0.0,0.0,0.0,651.0,0.0,1.0,1.0,1.0,417.0,3380000.0
254,luke amos,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
255,luke dreher,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0
256,luke shaw,29.0,29.0,2591.0,1.0,4.0,6.0,1657.0,238.0,656.0,28.0,30.0,1371.0,7800000.0
257,lys mousset,24.0,1.0,368.0,1.0,0.0,7.0,86.0,10.0,96.0,5.0,7.0,146.0,1040000.0
258,mamadou sakho,27.0,27.0,2416.0,0.0,0.0,0.0,1135.0,100.0,27.0,11.0,11.0,929.0,5200000.0
259,manolo gabbiadini,12.0,4.0,476.0,1.0,0.0,8.0,83.0,5.0,91.0,3.0,5.0,122.0,4160000.0
260,manuel lanzini,10.0,8.0,686.0,1.0,1.0,4.0,408.0,42.0,180.0,13.0,14.0,439.0,3640000.0
261,marc albrighton,27.0,18.0,1625.0,2.0,2.0,7.0,459.0,101.0,428.0,22.0,24.0,676.0,2340000.0
262,marc navarro,2.0,1.0,84.0,0.0,0.0,0.0,22.0,2.0,10.0,1.0,1.0,19.0,1196000.0
263,marcos alonso,31.0,31.0,2759.0,2.0,4.0,7.0,1838.0,175.0,903.0,22.0,25.0,1706.0,5200000.0
264,marcos rojo,5.0,2.0,212.0,0.0,0.0,3.0,99.0,9.0,21.0,1.0,1.0,110.0,4160000.0
265,marcus rashford,33.0,26.0,2334.0,10.0,6.0,40.0,538.0,75.0,660.0,48.0,52.0,851.0,2340000.0
266,mario lemina,21.0,18.0,1613.0,1.0,1.0,4.0,704.0,71.0,272.0,29.0,29.0,680.0,3380000.0
267,mark noble,31.0,29.0,2291.0,5.0,5.0,5.0,1293.0,163.0,375.0,15.0,16.0,1287.0,2600000.0
268,mark travers,2.0,2.0,180.0,0.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,22.0,0.0
269,marko arnautovic,28.0,24.0,1990.0,10.0,4.0,30.0,496.0,46.0,541.0,28.0,29.0,691.0,5200000.0
270,marouane fellaini,14.0,6.0,752.0,0.0,1.0,3.0,347.0,31.0,118.0,4.0,5.0,369.0,5200000.0
271,martin dubravka,38.0,38.0,3420.0,0.0,0.0,0.0,686.0,0.0,0.0,1.0,1.0,438.0,1976000.0
272,martin kelly,13.0,12.0,1111.0,0.0,0.0,1.0,263.0,17.0,12.0,0.0,0.0,242.0,1300000.0
273,martin montoya,25.0,24.0,2167.0,0.0,1.0,1.0,895.0,148.0,315.0,12.0,15.0,717.0,2600000.0
274,mason greenwood,3.0,1.0,117.0,0.0,0.0,4.0,51.0,4.0,52.0,3.0,3.0,65.0,0.0
275,mason holgate,5.0,4.0,408.0,0.0,0.0,0.0,192.0,26.0,9.0,1.0,2.0,182.0,1300000.0
276,matej vydra,13.0,3.0,318.0,1.0,1.0,3.0,46.0,4.0,65.0,3.0,3.0,87.0,1820000.0
277,mateo kovacic,32.0,21.0,1735.0,0.0,2.0,3.0,1355.0,100.0,595.0,34.0,34.0,1418.0,3900000.0
278,mathew ryan,34.0,34.0,3060.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,395.0,1820000.0
279,matt doherty,38.0,35.0,3144.0,4.0,5.0,17.0,1333.0,294.0,867.0,27.0,30.0,1294.0,520000.0
280,matt ritchie,36.0,35.0,2928.0,2.0,8.0,7.0,1036.0,216.0,788.0,17.0,17.0,1014.0,2340000.0
281,matt targett,16.0,13.0,1186.0,1.0,3.0,3.0,456.0,107.0,342.0,2.0,2.0,423.0,1820000.0
282,matteo darmian,6.0,5.0,443.0,0.0,0.0,1.0,176.0,17.0,64.0,1.0,2.0,149.0,2340000.0
283,matteo guendouzi,33.0,23.0,2149.0,0.0,0.0,3.0,1412.0,146.0,401.0,31.0,33.0,1395.0,2080000.0
284,matthew lowton,21.0,19.0,1750.0,0.0,0.0,0.0,623.0,131.0,282.0,14.0,15.0,467.0,1300000.0
285,max kilman,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,max meyer,29.0,15.0,1416.0,1.0,2.0,6.0,566.0,56.0,362.0,19.0,19.0,644.0,6500000.0
287,maya yoshida,17.0,17.0,1518.0,0.0,1.0,3.0,424.0,33.0,37.0,2.0,2.0,343.0,2600000.0
288,mesut ozil,24.0,20.0,1735.0,5.0,2.0,6.0,1028.0,147.0,668.0,18.0,19.0,1106.0,18200000.0
289,michael keane,33.0,33.0,2969.0,1.0,2.0,9.0,1285.0,108.0,81.0,5.0,7.0,1106.0,3120000.0
290,michael obafemi,6.0,1.0,137.0,1.0,1.0,2.0,17.0,3.0,35.0,1.0,2.0,33.0,0.0
291,michail antonio,33.0,22.0,2103.0,6.0,4.0,25.0,513.0,76.0,594.0,57.0,63.0,849.0,3640000.0
292,michel vorm,2.0,2.0,180.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,32.0,2080000.0
293,michy batshuayi,11.0,9.0,750.0,5.0,0.0,10.0,111.0,7.0,114.0,13.0,14.0,174.0,0.0
294,miguel almiron,10.0,9.0,759.0,0.0,0.0,8.0,188.0,28.0,199.0,7.0,10.0,242.0,0.0
295,miguel britos,3.0,2.0,185.0,0.0,0.0,0.0,48.0,5.0,3.0,0.0,0.0,36.0,1300000.0
296,mohamed diame,29.0,24.0,2166.0,0.0,0.0,3.0,571.0,45.0,192.0,23.0,27.0,581.0,2340000.0
297,mohamed elneny,8.0,5.0,380.0,0.0,0.0,0.0,259.0,28.0,56.0,1.0,1.0,251.0,2600000.0
298,mohamed elyounoussi,16.0,8.0,793.0,0.0,0.0,6.0,176.0,27.0,213.0,8.0,12.0,232.0,3120000.0
299,mohamed salah,38.0,37.0,3250.0,22.0,8.0,60.0,864.0,158.0,1173.0,79.0,86.0,1301.0,10400000.0
300,morgan gibbs-white,26.0,5.0,663.0,0.0,1.0,1.0,271.0,23.0,161.0,13.0,15.0,315.0,78000.0
301,morgan schneiderlin,14.0,10.0,834.0,0.0,1.0,0.0,484.0,29.0,79.0,7.0,7.0,422.0,5200000.0
302,mousa dembele,10.0,7.0,515.0,0.0,0.0,0.0,278.0,23.0,34.0,6.0,7.0,233.0,0.0
303,moussa sissoko,29.0,27.0,2330.0,0.0,3.0,3.0,1205.0,102.0,412.0,45.0,49.0,1185.0,4160000.0
304,n'golo kante,36.0,36.0,3092.0,4.0,4.0,6.0,1805.0,150.0,920.0,32.0,36.0,1792.0,7500000.0
305,naby keita,25.0,16.0,1390.0,2.0,1.0,9.0,898.0,114.0,414.0,26.0,30.0,958.0,6240000.0
306,nacho monreal,22.0,21.0,1861.0,1.0,3.0,4.0,1121.0,101.0,334.0,10.0,10.0,988.0,3640000.0
307,nampalys mendy,31.0,23.0,2092.0,0.0,0.0,0.0,969.0,80.0,200.0,19.0,21.0,870.0,2600000.0
308,nathan ake,38.0,38.0,3411.0,4.0,0.0,8.0,1469.0,91.0,142.0,3.0,3.0,1283.0,2080000.0
309,nathan redmond,38.0,36.0,3270.0,6.0,4.0,22.0,877.0,111.0,970.0,107.0,116.0,1231.0,3120000.0
310,nathaniel chalobah,9.0,3.0,270.0,0.0,0.0,1.0,93.0,11.0,36.0,1.0,1.0,88.0,1820000.0
311,nathaniel clyne,18.0,14.0,1254.0,0.0,1.0,0.0,522.0,86.0,240.0,6.0,6.0,417.0,3640000.0
312,nemanja matic,28.0,28.0,2436.0,1.0,0.0,3.0,1579.0,152.0,314.0,18.0,20.0,1410.0,6240000.0
313,nicolas otamendi,18.0,14.0,1236.0,0.0,0.0,3.0,1156.0,54.0,59.0,1.0,1.0,1081.0,6240000.0
314,oleksandr zinchenko,14.0,14.0,1151.0,0.0,3.0,1.0,1208.0,117.0,525.0,7.0,8.0,1066.0,1040000.0
315,oliver skipp,8.0,2.0,220.0,0.0,0.0,0.0,116.0,5.0,31.0,2.0,3.0,110.0,0.0
316,olivier giroud,27.0,7.0,847.0,2.0,4.0,10.0,174.0,12.0,201.0,2.0,2.0,293.0,6240000.0
317,oriol romeu,31.0,25.0,2136.0,1.0,0.0,4.0,898.0,130.0,190.0,12.0,12.0,765.0,3380000.0
318,oumar niasse,5.0,0.0,63.0,0.0,0.0,1.0,13.0,3.0,28.0,1.0,2.0,37.0,2860000.0
319,pablo zabaleta,26.0,23.0,2092.0,0.0,1.0,1.0,863.0,145.0,409.0,10.0,10.0,714.0,3900000.0
320,pape souare,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,1560000.0
321,pascal gross,25.0,24.0,1864.0,3.0,3.0,7.0,654.0,118.0,473.0,10.0,10.0,739.0,2600000.0
322,patrick van aanholt,36.0,36.0,3195.0,3.0,2.0,12.0,1587.0,292.0,682.0,27.0,28.0,1351.0,2860000.0
323,paul dummett,26.0,21.0,1990.0,0.0,0.0,1.0,639.0,104.0,164.0,2.0,3.0,537.0,1820000.0
324,paul pogba,35.0,34.0,3006.0,13.0,9.0,38.0,1728.0,274.0,870.0,60.0,62.0,2075.0,15080000.0
325,paulo gazzaniga,3.0,3.0,270.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,55.0,1040000.0
326,pedro,31.0,21.0,1778.0,8.0,2.0,24.0,950.0,77.0,714.0,38.0,38.0,1122.0,0.0
327,pedro obiang,24.0,12.0,1128.0,0.0,1.0,1.0,434.0,51.0,151.0,8.0,9.0,448.0,2860000.0
328,peter crouch,6.0,0.0,92.0,0.0,0.0,1.0,11.0,2.0,26.0,0.0,0.0,34.0,0.0
329,petr cech,7.0,7.0,584.0,0.0,0.0,0.0,168.0,0.0,1.0,1.0,1.0,130.0,5720000.0
330,phil bardsley,19.0,19.0,1670.0,0.0,0.0,1.0,523.0,117.0,222.0,5.0,7.0,405.0,1300000.0
331,phil foden,13.0,3.0,335.0,1.0,0.0,6.0,202.0,19.0,142.0,9.0,9.0,228.0,624000.0
332,phil jagielka,7.0,4.0,331.0,1.0,0.0,1.0,136.0,6.0,7.0,0.0,0.0,125.0,2600000.0
333,phil jones,18.0,15.0,1263.0,0.0,1.0,2.0,692.0,31.0,27.0,4.0,4.0,572.0,3900000.0
334,pierre hojbjerg,31.0,31.0,2760.0,4.0,3.0,19.0,1495.0,165.0,532.0,30.0,31.0,1429.0,0.0
335,pierre-emerick aubameyang,36.0,30.0,2726.0,22.0,5.0,34.0,526.0,68.0,600.0,29.0,32.0,831.0,10400000.0
336,rachid ghezzal,19.0,8.0,743.0,1.0,0.0,6.0,355.0,53.0,281.0,14.0,16.0,412.0,0.0
337,rafael camacho,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,raheem sterling,34.0,31.0,2771.0,17.0,9.0,37.0,1099.0,100.0,1237.0,86.0,91.0,1453.0,9360000.0
339,raul jimenez,38.0,36.0,3111.0,13.0,7.0,32.0,789.0,81.0,688.0,36.0,37.0,1133.0,2132000.0
340,ricardo pereira,35.0,35.0,3123.0,2.0,6.0,9.0,1495.0,224.0,767.0,62.0,72.0,1409.0,3640000.0
341,richarlison,35.0,32.0,2665.0,13.0,1.0,27.0,546.0,76.0,727.0,41.0,50.0,944.0,0.0
342,riyad mahrez,27.0,14.0,1343.0,7.0,4.0,24.0,717.0,98.0,654.0,31.0,33.0,832.0,6240000.0
343,rob holding,10.0,9.0,807.0,0.0,0.0,0.0,540.0,23.0,26.0,4.0,4.0,500.0,1300000.0
344,robbie brady,16.0,6.0,720.0,0.0,1.0,2.0,162.0,35.0,168.0,8.0,9.0,206.0,1820000.0
345,robert snodgrass,33.0,25.0,2220.0,2.0,5.0,8.0,875.0,138.0,710.0,34.0,37.0,973.0,2080000.0
346,roberto firmino,34.0,31.0,2607.0,12.0,6.0,31.0,1056.0,158.0,830.0,54.0,60.0,1327.0,9360000.0
347,roberto pereyra,33.0,33.0,2815.0,6.0,1.0,21.0,967.0,125.0,760.0,46.0,54.0,1109.0,2340000.0
348,romain saiss,19.0,12.0,1149.0,2.0,0.0,5.0,553.0,59.0,75.0,5.0,5.0,528.0,1144000.0
349,romelu lukaku,32.0,22.0,2136.0,12.0,0.0,33.0,379.0,49.0,467.0,26.0,27.0,653.0,9360000.0
